Brand;Description;Final_price;Original_price;Discount;Regular_price
MOGUL;Gomitas Mogul Jelly Buttons 1 Kg;$4.824;;;Precio regular: $4.824 x kg
FRUTIGRAN;Galletitas Frutigran Avena Y Pasas 250 Gr;$758,69;2do al 70%;Llevando 2: $493,15 c/u;Precio regular: $3.034,76 x kg
9 DE ORO;Bizcochos De Grasa 9 De Oro 200 Gr;$1.037;;;Precio regular: $5.185 x kg
TERRABUSI;Alfajor Triple Terrabusi Clásico 70g;$392,63;;;Precio regular: $5.609 x kg
ALICANTE;Pimenton Alicante St X50g;$947;;;Precio regular: $1.894 x 100 gr.
CUISINE & CO NBE MP;Galles Con Avena Y Coco Con Chips 186 Gr C&co;$789,73;;;Precio regular: $4.245,86 x kg
CUISINE & CO NBE MP;Tostadas Finas light 140gr C&co;$1.130,93;2do al 70%;Llevando 2: $735,1 c/u;Precio regular: $8.078,07 x kg
BIGGYS;Pochoclo Acaramelados Biggys X 60gr;$312;;;Precio regular: $5.200 x kg
CUISINE & CO NBE MP;Pionono Salado Cuisine & Co;$1.350,96;2do al 70%;Llevando 2: $878,12 c/u;Precio regular: $6.754,8 x kg
PRINGLES;Papas Pringles Queso X124gs;$1.856,96;;;Precio regular: $15.474,67 x kg
DON SATUR;Pan Ducle Don Satur C/frutas X400gr;$952,2;$1.587;-40%;Precio regular: $3.967,5 x kg
ALICANTE;Coco Rallado Alicante St X50g;$509;;;Precio regular: $10,18 x lt
KNORR;Pure De Papas Knorr Receta Completa Listo X125g;$724;;;Precio regular: $5.792 x kg
TARAGUI;Yerba Mate Taragui 4flex Sin Palo 500g;$1.416,5;;;Precio regular: $2.833 x kg
CACHAFAZ;Galletitas Integral Cachafaz Avena Y Pasas 225 Gr;$1.487;;;Precio regular: $6.608,89 x kg
OLIOVITA;Aceite De Oliva Oliovita Extra Virgen Clásico 500 Ml;$8.192,35;;;Precio regular: $16.384,7 x lt
OPERA;Galletitas Obleas Opera Chocolate X68g;$410;;;Precio regular: $6.029,41 x kg
HOJALMAR;Galletitas Hojalmar Larguitas De Hojaldre 150 Gr;$414;;;Precio regular: $2.760 x kg
ROYAL;Gelatina Royal Frutos Rojos 25g;$419;;;Precio regular: $1.676 x 100 gr.
STARBUCKS;Starbucks® Nespresso® Pike Place X 10un;$4.185,47;;;Precio regular: $418,55 x un
ALICANTE;Oregano Alicante St X50gr;$1.311;;;Precio regular: $2.622 x 100 gr.
GRANIX;Galletitas Granix Salvado X240gr;$479,15;2do al 70%;Llevando 2: $311,45 c/u;Precio regular: $1.996,46 x kg
Molinos Ala;Arroz Molinos Ala En Grano 1kg;$1.683;;;Precio regular: $1.683 x kg
NATURA;Mostaza Natura;Llevando 2: $NaN c/u;;;Precio regular: $1.680 x kg
ALICANTE;Bicarbonato De Sodio Alicante St X50g;$375;;;Precio regular: $750 x 100 gr.
GRANAGUA;Galletitas De Agua Granagua 200 Gr;$342,69;;;Precio regular: $1.713,45 x kg
KRACH-ITOS;Papas Krach-itos Corte Americano X115g;$1.331;;;Precio regular: $11.573,91 x kg
KNORR;Caldo Knorr Sabor Gallina X 12 Cubos;$645;;;Precio regular: $5.657,89 x kg
BIMBO;Pan Brioche De Hamburguesa Artesano X 4u;$1.274;;;Precio regular: $5.308,33 x kg
NESQUIK;Nesquik® Original Polvo Chocolatado Menos Azúcar X 300gr;$2.058,74;2do al 70%;Llevando 2: $1.338,18 c/u;Precio regular: $6.862,47 x kg
GREEN HILLS;Té Green Hills Saquitos 200 Gr;$2.232,3;;;Precio regular: $11.161,5 x kg
ALICANTE;Provenzal Alicante St X50gr;$1.116;;;Precio regular: $2.232 x 100 gr.
CUISINE & CO NBE MP;Arveja S/sal Agregada Cuisine & Co 300gr;$464;;;Precio regular: $2.263,41 x kg
GRANIX;Copos De Maíz Granix Skarchitos 240 Gr;$525,87;;;Precio regular: $2.191,13 x kg
VARIEDAD;Galletitas Dulces Variedad De Terrabusi Mix Vainilla 300g;$741;;;Precio regular: $2.470 x kg
ZUCARITAS;Copos De Maiz Zucarita Kelloggs X490g;$2.151,28;;;Precio regular: $4.390,37 x kg
LA MERCED;Yerba Mate La Merced Monte O.c 500g;$1.982,3;;;Precio regular: $3.964,6 x kg
PASTA SOLE;Fideos Pasta Sole Tirabuzon X500 Gr;$621,08;;;Precio regular: $1.242,16 x kg
LADDU BAR;Barra Laddu Bar Vegana Brownie X 30g;$478;;;Precio regular: $1.593,33 x 100 gr.
FROOT LOOPS;Cereal Froot Loops Kellogg´s 300g;$1.413,55;;;Precio regular: $4.711,83 x kg
KINDER;Kinder Chocolate 12,5 Gr;$153,28;;;Precio regular: $1.226,24 x 100 gr.
NESQUIK;Nesquik® Cereal X 400gr;$2.345,76;;;Precio regular: $5.864,4 x kg
BIMBO;Pan Integral Cero Cero Bimbo 350g;$1.965;;;Precio regular: $5.614,29 x kg
UNION;Mate Cocido Unión S/e F.diamantado 5x50x3gr;$914,66;;;Precio regular: $6.097,73 x kg
CUISINE & CO NBE MP;Tostadas Finas clásicas 140gr C&co;$1.130,93;2do al 70%;Llevando 2: $735,1 c/u;Precio regular: $8.078,07 x kg
OPERA;Galletitas Obleas Opera Frutilla X68g;$300;;;Precio regular: $4.411,76 x kg
CUISINE & CO NBE MP;Miss Hojaldre - Triangulitas Cuisine & Co 150 Gr;$654;;;Precio regular: $4.360 x kg
FAVINCO;Vinagre Favinco De Alcohol X1300ml;$940,67;;;Precio regular: $723,59 x lt
ROYAL;Gelatina Sin Sabor Royal 14g;$245;;;Precio regular: $1.750 x 100 gr.
FRESH MP;Palmeritas De Manteca 200 Gr;$1.949;;;Precio regular: $9.745 x kg
JORGITO;Alfajor Negro Con Dulce De Leche Jorgito Mini 155 Gr;$1.359,06;;;Precio regular: $8.768,13 x kg
LAY´S;Papas Lays Cheddar X77g;$1.588;2do al 70%;Llevando 2: $1.032,2 c/u;Precio regular: $22.685,71 x kg
AGUILA;Alfajor Minitorta Clasico 69 G;$620;;;Precio regular: $8.985,51 x kg
9 DE ORO;Sconcitos 9 De Oro 200 Gr;$713;;;Precio regular: $3.565 x kg
CEREAL MIX;Barras De Cereal Arcor Mix Original X 92 G;$1.206;;;Precio regular: $13.108,7 x kg
FARGO;Pan Blanco Lacteado Fargo 330g;$1.357;;;Precio regular: $4.112,12 x kg
CABRALES;Capsulas Cabrales Super X55g;$4.980,66;;;Precio regular: $90.557,45 x kg
QUAKER;Avena Quaker Extra Fina 470g;$1.200,13;;;Precio regular: $2.553,47 x kg
CASERITA;Harina Caserita Leudante 1 Kg;$872;;;Precio regular: $872 x kg
DOS HERMANOS;Galleta De Arroz Slim Dos Hermanos Dulce X100 Gr;$545,13;;;Precio regular: $5.451,3 x kg
GIACOMO;Capelettini Giacomo Tridicci 500g;$1.718;;;Precio regular: $3.436 x kg
HILERET;Endulzante Hileret Clasico Forte X 100 Sobrecitos;$1.402,96;;;Precio regular: $14,03 x un
TIC TAC;Pastillas Tic Tac Menta 33 U;$176,07;;;Precio regular: $1.100,44 x 100 gr.
BIMBO;Vainillas Bimbo X 36u;$1.839;;;Precio regular: $4.132,58 x kg
OREO;Galletitas Oreo Chocolate X118g;Llevando 2: $NaN c/u;;;Precio regular: $5.957,63 x kg
LAY´S;Papas Fritas Lays Jamon Serrano X34g;$789;2do al 70%;Llevando 2: $512,85 c/u;Precio regular: $2.320,59 x 100 gr.
MATARAZZO;Fideos Matarazzo Tirabuzón N28 X500g;$1.075;;;Precio regular: $2.150 x kg
LA VIRGINIA;Te La Virginia Naturalidad Intacta X50s;$1.249;;;Precio regular: $24,98 x un
LACTAL;Pan Con Salvado Con Semillas De Chia Y De Lino Lactal 330g;$1.279;;;Precio regular: $3.875,76 x kg
BARILLA;Fideos Penne Rigate Barilla 500 Gr;$6.330,45;;;Precio regular: $12.660,9 x kg
LADDU BAR;Barra Laddu Bar Vegan Frutos Rojos X 30g;$478;;;Precio regular: $1.593,33 x 100 gr.
FERRERO;Bombones Ferrero Rocher 4 U;$858,11;;;Precio regular: $621,82 x kg
LADDU BAR;Barra Laddu Bar Vegana Arandanos X 30g;$478;;;Precio regular: $1.593,33 x 100 gr.
CUISINE & CO NBE MP;Fideos Dedalitos C&c;$879;;;Precio regular: $1.758 x kg
CELUSAL;Sal Fina Celusal 500 Gr;$454;;;Precio regular: $908 x kg
PUREZA;Harina Pureza Integral Para Pizza Con Levadura X1k;$535,25;;;Precio regular: $535,25 x kg
MORIXE;Pan Rallado Morixe 500 Gr;$363;;;Precio regular: $726 x kg
MILKA;Chocolate Con Leche Milka 55g;$640;3x2;Llevando 3: $426.67 c/u;Precio regular: $11.636,36 x kg
HILERET;Endulzante Hileret Stevia X 200 Ml;$1.964,56;;;Precio regular: $9.822,8 x lt
MAGGI;Caldo Maggi Verduras X57g;Llevando 2: $NaN c/u;;;Precio regular: $2.812,98 x kg
Molinos Ala;Arroz Molinos Ala Ita Caabó Largo Fino 1k;$1.766;;;Precio regular: $1.766 x kg
ARCOR;Mermelada Arcor Frutilla +fruta X454g;$1.543;;;Precio regular: $3.398,68 x kg
DON VICENTE;Fideos Don Vicente Fettuccini X500g;$1.683;;;Precio regular: $3.366 x kg
SHOT;Chocolate Con Maní Shot 90g;$871,82;3x2;Llevando 3: $581.21 c/u;Precio regular: $9.686,89 x kg
CUISINE & CO NBE MP;Pepas Cuisine&co Batata X300gr;$715,29;;;Precio regular: $2.384,3 x kg
COQUITAS;Galletitas Melitas 159g;$400;;;Precio regular: $2.515,72 x kg
REX;Galletitas Rex Original Tubo 75 Gr;$352;;;Precio regular: $4.693,33 x kg
STEINHAUSER;Pan Dulce Steinhauser Con Frutas Estuche 850 Gr;$6.892,8;$11.488;-40%;Precio regular: $13.515,29 x kg
EXQUISITA;Brownies Exquisita Ldg X400gr;$1.960,5;$2.614;-25%;Precio regular: $6.535 x kg
ALCAZAR;Vinagre Alcazar De Alcohol X 500 Cc.;$321;;;Precio regular: $642 x lt
CACHAFAZ;Galletitas Cachafaz;$1.487;;;Precio regular: $6.608,89 x kg
MAGGI;Maggi® Caldo Verdura X 12u.;$269,05;$358,73;-25%;Precio regular: $3.146,75 x kg
LA PERLA;Pan Para Panchos La Perla 220g;$770;;;Precio regular: $3.500 x kg
MORIXE;Harina Para Pizzas Morixe X1kg;$1.465;;;Precio regular: $1.465 x kg
NATURA;Aderezo Ketchup Natura 500 Gr;$927,75;$1.237;-25%;Precio regular: $2.474 x kg
LAY´S;Papas Fritas Lays Queso Y Cebolla X34g;$789;2do al 70%;Llevando 2: $512,85 c/u;Precio regular: $2.320,59 x 100 gr.
BELDENT;Chicle Menta Beldent Infinit 13,3g;$279;;;Precio regular: $2.146,15 x 100 gr.
CUISINE & CO NBE MP;Mermelada Durazno Reducida Calorias C&co;$816,82;;;Precio regular: $2.094,41 x kg
CUISINE & CO NBE MP;Biscuits Cuisine & Co 125gr;$528,53;;;Precio regular: $4.228,24 x kg
KINDER;Kinder Chocolate 4 U;$562,65;;;Precio regular: $1.125,3 x 100 gr.
SERENATA;Garrapiñada Serenata De Maní X 80 Gr;$249;2x1;Llevando 2: $124.50 c/u;Precio regular: $3.112,5 x kg
CUISINE & CO NBE MP;Maíz Pisingallo Cuisine & Co 400gr;$648,99;;;Precio regular: $1.622,48 x kg
ARCOR;Mermelada Arcor Light Frasco Duraz X390g;$878;;;Precio regular: $2.251,28 x kg
NATURA;Mostaza Natura;$376,5;$502;-25%;Precio regular: $2.008 x kg
OREO;Galletitas Dulces Rellenas Con Crema Oreo 182,5g;$607,1;$934;-35%;Precio regular: $5.188,89 x kg
CABRALES;Cafe Cabrales Espressarte Dimattina 55 Gr;$5.418,24;;;Precio regular: $98.513,45 x kg
BON O BON;Bon O Bon Leche 270 Gr;$4.024;3x2;Llevando 3: $2682.67 c/u;Precio regular: $14.903,7 x kg
Kit Kat;Oblea Kitkat® Dark 4 Fingers X 41,5gr;$412,42;3x2;Llevando 3: $274.95 c/u;Precio regular: $993,78 x 100 gr.
FARGO;Pan Para Hamburguesas Sin Semillas Fargo 210g;$816;;;Precio regular: $3.885,71 x kg
LA CAMPAGNOLA;Jardinera La Campagnola Hortalizas Y Legumbres X300g;$570;;;Precio regular: $1.900 x kg
COFLER;Alfajor Cofler Block 60 Gr;$518;;;Precio regular: $8.633,33 x kg
NOBLEZA GAUCHA;Yerba Mate Nobleza Gaucha Suave X1kg Sin Tacc;$2.319;;;Precio regular: $2.319 x kg
GREEN HILLS;Té Green Hills - 25 Saquitos;$611,63;;;Precio regular: $1.223,26 x 100 gr.
NATURA;Aceite De Oliva Natura Virgen 120 Ml;$1.454;;;Precio regular: $12.116,67 x kg
TERRABUSI;Alfajor Terrabusi Blanco Glaseado 6ux38g;$1.825;;;Precio regular: $8.004,39 x kg
TRIX;Trix® Cereal X 330gr;$1.682,28;2do al 50%;Llevando 2: $1.261,71 c/u;Precio regular: $5.097,82 x kg
ALELUYA;Miel Aleluya Liquida Sin Tacc 500g;$1.760,15;$2.707,93;-35%;Precio regular: $5.415,86 x kg
ALICANTE;Pimenton Alicante St X25g;$500;;;Precio regular: $2.000 x 100 gr.
DULCE MAMA;Budin Dulce Mama - Sabor Vainilla - 170 Gr;$239,4;$399;-40%;Precio regular: $2.347,06 x kg
PRESTOPRONTA;Harina Presto Pronta De Maíz Precocida X730;$860;;;Precio regular: $1.178,08 x kg
SALSATI;Pulpa De Tomate Salsati 520 Gr;$395;;;Precio regular: $759,62 x kg
TIC TAC;Pastillas Tic Tac Naranja 33 U;$176,07;;;Precio regular: $1.100,44 x 100 gr.
LA CAMPAGNOLA;Arvejas La Campagnola X195g;$384;;;Precio regular: $1.280 x kg
MR POP´S;Chupetin Mr.pops Evolution Blueberry 432 Gr;$1.171,04;;;Precio regular: $2.710,74 x kg
CROWIE;Barrita De Arroz Crowie Chocolate Negro 3 U;$683;2do al 50%;Llevando 2: $512,25 c/u;Precio regular: $5.691,67 x 100 gr.
BIMBO;Madalenas Rellenas Con Ddl Bimbo X 180g;$777;;;Precio regular: $4.089,47 x kg
LA VIRGINIA;Café La Virginia Molido 500gr;$4.496;;;Precio regular: $8.992 x kg
ARTESANO;Turron Artesano Torta Alicante 150 Gr;$9.765;2x1;Llevando 2: $4882.50 c/u;Precio regular: $65.100 x kg
HEINZ;Mayonesa Heinz 850gr;$1.740,75;$2.321;-25%;Precio regular: $2.730,59 x kg
NESCAFE;Café Nescafe Dolca Latte Mix X125g;$954,59;;;Precio regular: $7.636,72 x kg
DONUTS;Galletitas Donuts Chocolate Blanco 78 Gr;$687,83;;;Precio regular: $8.818,33 x kg
BIMBO;Vainillas Bimbo X 12u;$685;;;Precio regular: $4.628,38 x kg
9 DE ORO;Bizcochos Agridulces 9 De Oro 200 Gr;$1.037;;;Precio regular: $5.185 x kg
ROCKLET´S;Confites Rocklets De Chocolate 40 Gr;$594;;;Precio regular: $1.485 x 100 gr.
FRUTIGRAN;Galletitas Frutigran Con Chia Y Lino 240 Gr;$608,91;;;Precio regular: $2.537,13 x kg
NESCAFE;Nescafé® Dolce Gusto® Capuccino Dulce De Leche X 16u.;$4.089,49;;;Precio regular: $15.146,26 x kg
CUISINE & CO NBE MP;Tostadas Clasicas 200 Gr Cuisine & Co;$879,33;2do al 70%;Llevando 2: $571,56 c/u;Precio regular: $4.396,65 x kg
LA LECHERA;La Lechera® Nutrifuerza X 800gr;$4.229,41;;;Precio regular: $5.286,76 x kg
QUAKER;Quaker Avena Tradicional X550g;$1.568;;;Precio regular: $2.850,91 x kg
LA VIRGINIA;Cafe L Virginia Capsulas Equilibrio X52g;$3.672;;;Precio regular: $367,20 x un
SHIVA;Shiva Mix De Semillas X 100 G Sin Tacc;$1.112,8;;;Precio regular: $11.128 x kg
LA CAMPAGNOLA;Porotos La Campagnola Alubia X300g;$581;;;Precio regular: $1.936,67 x kg
CUISINE & CO NBE MP;Granola Con Pasas Cuisine&co 320gr;$1.631,76;;;Precio regular: $5.099,25 x kg
ROYAL;Gelatina Royal Regular Frambuesa X25g;$264;;;Precio regular: $1.056 x 100 gr.
PEHUAMAR;Mani Pehuamar C/piel 85g;$685;;;Precio regular: $8.058,82 x kg
ARTESANO;Turrón Artesano Jijona X150g;$7.339,5;2x1;Llevando 2: $3669.75 c/u;Precio regular: $48.930 x kg
MOLTO;Duraznos En Trozos Molto 340g;$565;-15%;$667;Precio regular: $1.961,76 x kg
LAY´S;Papas Fritas Lays Jamon Serrano X122g;$1.686,03;2do al 70%;Llevando 2: $1.095,92 c/u;Precio regular: $14.050,25 x kg
CUISINE & CO NBE MP;Mermelada De Ciruela Cuisine & Co;$824,25;;;Precio regular: $1.811,54 x kg
MATARAZZO;Fideos Matarazzo Guisero;$1.335;;;Precio regular: $2.670 x kg
HEINZ;Mayonesa Heinz Light Doy-pack X350gr;$932,25;$1.243;-25%;Precio regular: $3.531,25 x kg
LA MORENITA;Café La Morenita Molido 250gr;$1.956;;;Precio regular: $7.824 x kg
DOS ANCLAS;Sal Entrefina Dos Anclas 500 Gr;$602;;;Precio regular: $1.204 x kg
TERRABUSI;Fideos Terrabusi Fusilli X500g;$795;;;Precio regular: $1.590 x kg
CRIOLLITAS;Criollitas Tostadas Salvado 195gr;$764;;;Precio regular: $3.917,95 x kg
ARCOR;Chupetín Trompito Frutal 11 Gr;$1.523;;;Precio regular: $12.927,6 x 100 gr.
CUISINE & CO NBE MP;Madalenas Chocolate Con Ddl C&co 180 G;$776,88;;;Precio regular: $4.316 x kg
CELUSAL;Sal Fina Celusal 500 Gr;$1.345;;;Precio regular: $2.690 x kg
JORGITO;Alfajores Mini Jorgito Blanco 155 Gr;$1.359,12;;;Precio regular: $8.768,52 x kg
SALSATI;Salsa Salsati Italiana X340g;$479;;;Precio regular: $1.408,82 x kg
PASTA SOLE;Fideos Pasta Sole Spaguetti X500 Gr;$621,08;;;Precio regular: $1.242,16 x kg
LA PARMESANA;Orégano La Parmesana 25 Gr;$252;;;Precio regular: $1.008 x 100 gr.
HILERET;Endulzante Hileret Zucra X 400 Ml;$2.328,56;;;Precio regular: $5.821,4 x lt
KINDER;Huevo Kinder Sorpresa X40gr;$1.080,41;;;Precio regular: $2.701,03 x 100 gr.
CUISINE & CO NBE MP;Te Manzanilla C/sob C&co 25 Saq 50 Gr;$543,62;;;Precio regular: $1.087,24 x 100 gr.
BELDENT;Chicle Mentol Beldent 20g;$221;;;Precio regular: $2.210 x 100 gr.
NESQUIK;Nesquik® Cereal X 210gr;$1.320,55;;;Precio regular: $6.288,33 x kg
AGUILA;Alfajor Minitorta Brownie 69 G;$620;;;Precio regular: $8.732,39 x kg
FRITOLIM;Aceite Oliva En Aerosol Fritolim X120 Gr;$1.110,59;;;Precio regular: $8.814,21 x lt
CUISINE & CO NBE MP;Ananá En Rodajas Cuisine & Co 140 Gr;$939,25;$1.445;-35%;Precio regular: $10.321,43 x kg
GRANIX;Bocaditos De Cereal Rellenos Con Frutilla Granix 180 Gr;$752,9;;;Precio regular: $4.182,78 x kg
SUGUS;Caramelos Sugus Confitadosx50gr;$405,12;;;Precio regular: $810,24 x 100 gr.
GALLO;Gallo Snacks Oblea De Arroz Chocobar 20 Gr.;$388;;;Precio regular: $1.940 x 100 gr.
JUMBO MP;Snack De Arroz Jumbo Bajo En Sodio 45 Gr;$241,71;2do al 70%;Llevando 2: $157,11 c/u;Precio regular: $537,13 x 100 gr.
PERGOLA;Bicarbonato De Sodio Pergola Sin Tacc 50 Gr;$147,68;;;Precio regular: $295,36 x 100 gr.
BONAFIDE;Turron Bonafide Crocante De Mani 80 Gr;$575;2x1;Llevando 2: $287.50 c/u;Precio regular: $7.187,5 x kg
BAGLEY;Pan Dulce Bagley C/frutas X400gr;$1.827,6;$3.046;-40%;Precio regular: $7.615 x kg
HELLMANN´S;Salsa Barbacoa Hellmanns 250g;$386,25;$515;-25%;Precio regular: $2.060 x kg
HELLMANN´S;Aderezo De Ajo Ahumado Hellmanns X250gr;Llevando 2: $NaN c/u;;;Precio regular: $3.168 x kg
NESCAFE;Nescafé® Tradición X 120gr;$2.089,74;;;Precio regular: $17.414,5 x kg
GEORGALOS;Caramelos Flynn Paff Tutti Frutti 128 Gr;$821,75;;;Precio regular: $6.419,92 x kg
LA CAMPAGNOLA;Mayonesa La Campagnola X1000g;Llevando 2: $NaN c/u;;;Precio regular: $1.154 x kg
KINDER;Chocolate Kinder Relleno X 20 Gr;$280,25;;;Precio regular: $1.401,25 x 100 gr.
FORMIS;Galletitas Polvorita Vainilla 81g;$254;;;Precio regular: $3.135,8 x kg
ALICANTE;Aji Molido Alicante X50gr;$812;;;Precio regular: $1.624 x 100 gr.
ROCKLET´S;Confites Rocklets Mini 150 Gr;$1.288;;;Precio regular: $8.586,67 x kg
MATARAZZO;Fideos Matarazzo Tallarín N5 X500g;$1.075;;;Precio regular: $2.150 x kg
MAZOLA;Aceite De Girasol Mazola Manteca 120 Ml;$1.144;;;Precio regular: $9.152 x lt
VALENTE;Vainillas Valente X 36u;$1.652;;;Precio regular: $3.712,36 x kg
HELLMANN´S;Ketchup Hellmanns X400g;$1.113,75;$1.485;-25%;Precio regular: $3.712,5 x kg
CASERITA;Harina Caserita Comun Para Pizza Paquete 1 Kg;$799;;;Precio regular: $799 x kg
LETIZIA;Harina Letizia;$432;;;Precio regular: $432 x kg
CUISINE & CO NBE MP;Aceite De Oliva Extra Virgen 1l C&c;$16.486,27;;;Precio regular: $16.486,27 x lt
CHEETOS;Palitos De Maiz Cheetos Queso X43g;$855;;;Precio regular: $1.988,37 x 100 gr.
CUISINE & CO NBE MP;Madalenas Vainilla Cuisine & Co 200 Gr;$776,88;;;Precio regular: $3.884,4 x kg
WAKAS;Pasta Multicereal Wakas 250 Gr;$1.683;;;Precio regular: $6.732 x kg
CUISINE & CO NBE MP;Porotos Cuisine & Co 300gr;$616;;;Precio regular: $3.004,88 x kg
CUISINE & CO NBE MP;Madalenas Marmoladas Cuisine & Co 200 Gr;$776,88;;;Precio regular: $3.884,4 x kg
CUISINE & CO NBE MP;Mermelada Ciruela Reducida Calorias C&co;$859,95;;;Precio regular: $2.205 x kg
PEP;Palitos Pep 40 Gr;$324;;;Precio regular: $810 x 100 gr.
LA PERLA;Pan Para Hamburguesa La Perla 210g;$770;;;Precio regular: $3.666,67 x kg
DULCE MAMA;Budin Dulce Mamá Marmolado 170g;Llevando 2: $NaN c/u;;;Precio regular: $2.347,06 x kg
CELUSAL;Sal Celusal Entrefina X500gr;$346;;;Precio regular: $692 x kg
BON O BON;Caja Bon O Bon Pinito Navidad X15g;$2.144;;;Precio regular: $14.293,33 x kg
PASEO;Galletitas Mini Marineras Paseo 220 Gr;$595;;;Precio regular: $2.704,55 x kg
ARMONIA;Leche En Polvo Modificada Armonia X400gr;$1.397,76;;;Precio regular: $3.494,4 x kg
BAGLEY NEGRO;Alfajor Byn Bagley Blanco X50g;$431;;;Precio regular: $862 x 100 gr.
CUISINE & CO NBE MP;Rocio Vegetal De Girasol En Aerosol C&co 120 Gr;$1.329;;;Precio regular: $10.632 x lt
GRANIX;Copos De Maíz Tradicionales Granix 160 Gr;$379,25;;;Precio regular: $2.370,31 x kg
UNION;Mate Cocido Union X 300 Gr;$1.852,02;;;Precio regular: $6.173,4 x kg
GRANAGUA;Galletitas De Agua Granagua 600 Gr;$1.353,63;;;Precio regular: $22.560,5 x kg
LA CAMPAGNOLA;Mermelada La Campagnola Naranja X454g;$1.034;;;Precio regular: $2.277,53 x kg
PEHUAMAR;Palitos Pehuamar Queso X165g;$1.267;;;Precio regular: $7.678,79 x kg
TARAGUI;Yerba Mate Taragui 4flex 1/2kg;$1.483,31;;;Precio regular: $2.966,62 x kg
CHOCOARROZ;Alfajor Chocoarroz Dulce De Leche 22g;$520;;;Precio regular: $2.363,64 x 100 gr.
DOS ANCLAS;Ajo Deshidratado Dos Anclasx20g;$432;;;Precio regular: $2.160 x 100 gr.
HILERET;Endulzante Hileret Clasico Forte X 250 Ml;$997,36;;;Precio regular: $3.989,44 x lt
Tostitos;Nachos Tostitos 200 Gr;$3.036;;;Precio regular: $15.180 x kg
CADBURY;Chocolate Cadbury Tres Sueños 25g;$395;3x2;Llevando 3: $263.33 c/u;Precio regular: $1.580 x 100 gr.
ROYAL;Gelatina Royal Frutilla 25g;$419;;;Precio regular: $1.676 x 100 gr.
INALPA;Choclo Amarillos Inalpa Enteros X300gr;$629;-15%;$744,15;Precio regular: $2.480,5 x kg
KNORR;Bolsas Para Horno Knorr Limon Y Oregano 21g;$385;;;Precio regular: $1.833,33 x 100 gr.
CUISINE & CO NBE MP;Mermelada De Frutilla Cuisine & Co;$1.136,77;;;Precio regular: $2.498,4 x kg
VALENTE;Madalenas Rellenas Con Ddl Valente X 180g;$711;;;Precio regular: $3.555 x kg
KNORR;Caldo Knorr Sabor Carne X 12 Cubos;$645;;;Precio regular: $5.657,89 x kg
UNION;Yerba Mate Union 4flex 1/2kg;$1.523,38;;;Precio regular: $3.046,76 x kg
TERRABUSI;Alfajor Terrabusi Blanco Glaseado 38g;$276,24;;;Precio regular: $726,95 x 100 gr.
9 DE ORO;Cookies 9 De Oro 120gr;$367;;;Precio regular: $3.058,33 x kg
NESCAFE;Nescafé® Dolca Caramel X 125gr;$954,59;;;Precio regular: $7.636,72 x kg
CUISINE & CO NBE MP;Crackers Cuisine&co X 3u;$804;2do al 70%;Llevando 2: $522,6 c/u;Precio regular: $2.653,47 x kg
MR POP´S;Chupetines Surtidos Mr Pop Evolution X432g;$2.714;;;Precio regular: $6.282,41 x kg
ARCOR;Maní Con Chocolate Arcor;$1.316;2x1;Llevando 2: $658.00 c/u;Precio regular: $16.450 x kg
WAKAS;Pasta Multicereal Wakas Con Kale X250gr.;$1.683;;;Precio regular: $6.732 x kg
MOGUL;Gomitas Mogul Anillos 220g;$903;;;Precio regular: $4.104,55 x kg
MENOYO;Vinagre De Manzana Menoyo 1 L;$1.161,06;;;Precio regular: $1.161,06 x lt
DOS ANCLAS;Bicarbonato De Sodio Dos Anclas 25 Gr;$248;;;Precio regular: $992 x 100 gr.
BIGGYS;Pochoclos Acaramelados X 100g Biggys;$592,8;;;Precio regular: $5.928 x kg
TIC TAC;Pastillas Tic Tac Dupla Frutilla 33 U;$176,07;;;Precio regular: $1.100,44 x 100 gr.
KINDER;Kinder Huevo Rosa 2 U;$1.080,41;;;Precio regular: $2.701,03 x 100 gr.
MOGUL;Gomitas Mogul Conitos 220g;$1.092;;;Precio regular: $4.963,64 x kg
EL BROCAL;Mermelada Frutilla Light El Brocal 400 Gr;$3.680,56;;;Precio regular: $9.201,4 x kg
ROYAL;Gelatina Royal Cereza X25gr;$372;;;Precio regular: $1.488 x 100 gr.
FLOW;Barra Flow De Almendras Piso Chocox180g;$1.504,31;;;Precio regular: $8.357,28 x kg
9 DE ORO;Pepas 9 De Oro Membrillo X140g;$444,53;;;Precio regular: $3.175,21 x kg
HEINZ;Mayonesa Heinz Light Doy-pack X850gr;$1.918,5;$2.558;-25%;Precio regular: $3.009,41 x kg
HELLMANN´S;Mayonesa Hellmanns Liviana 237g;$317,25;$423;-25%;Precio regular: $1.784,81 x kg
MILKA;Chocolate De Leche Aireado Milka 110g;$1.194,58;3x2;Llevando 3: $796.39 c/u;Precio regular: $10.859,82 x kg
INTEGRA;Barra Integra Avena Alm Nuez 41g;$561;;;Precio regular: $1.368,29 x 100 gr.
PUREZA;Pan Rallado Integral Pureza X 350 Gr;$440;;;Precio regular: $1.257,14 x kg
PEHUAMAR;Maicitos Pehuamar X260g;$2.057;;;Precio regular: $7.911,54 x kg
PEHUAMAR;Papas Fritas Pehuamar Acanalada X485g;$3.994;;;Precio regular: $9.985 x kg
MORIXE;Rebozador Morixe 1 Kg;$623;;;Precio regular: $623 x kg
