Brand;Description;Final_price;Original_price;Discount;Regular_price;Regular_price_measure;Regular_price_un;timestamp
LUCHETTI;Fideos Lucchetti Tallarín N5 X500g;1026.0;;;2052.0;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Fideos Tirabuzon C&c 500gr;879.0;;;1758.0;1;kg;2023-12-23 11:56:06.003
DOS HERMANOS;Arroz Dos Hermanos Pairboil 1 Kg;1610.11;;;1610.11;1;kg;2023-12-23 11:56:06.003
TODDY;Galletitas Toddy Chips De Chocolate 126 Gr;565.32;869.72;-35%;6902.54;1;kg;2023-12-23 11:56:06.003
MANA;Galletitas Mana Vainilla 408g;989.0;;;2472.5;1;kg;2023-12-23 11:56:06.003
CHEF;Puré Chef X 100gr;592.0;;;5920.0;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Galletitas Con Chips De Chocolate 172gr C&co;801.47;;;4659.71;1;kg;2023-12-23 11:56:06.003
TRAVIATA;Galletitas De Agua Traviata 303 Gr;580.0;;;1933.33;1;kg;2023-12-23 11:56:06.003
LAY´S;Papas Fritas Lays Clasicas X85g;1588.0;;Llevando 2: $1.032,2 c/u;19850.0;1;kg;2023-12-23 11:56:06.003
MANTECOL;Postre Mantecol Bajo En Sodio 253g;2349.0;;Llevando 2: $1174.50 c/u;9284.58;1;kg;2023-12-23 11:56:06.003
SONRISAS;Galle Sonrisas Frambuesa X324g;1086.0;;;3351.85;1;kg;2023-12-23 11:56:06.003
CHOCOLINAS;Galletitas Chocolinas X150g;626.0;;;4064.94;1;kg;2023-12-23 11:56:06.003
NUCETE;Aceite De Oliva Nucete Clásico 500 Ml;8301.4;;;16602.8;1;lt;2023-12-23 11:56:06.003
LA MERCED;Yerba Mate La Merced Barcbacua O.c 500g;1982.3;;;3964.6;1;kg;2023-12-23 11:56:06.003
CACHAFAZ;Alfajores Mixtos Cachafaz 12 U;7445.0;;;10340.28;1;kg;2023-12-23 11:56:06.003
BIMBO;Pan Para Hamburguesa Con Sésamo Bimbo X 4u;910.0;;;4333.33;1;kg;2023-12-23 11:56:06.003
AGUILA;Chocolate Aguila Para Taza 150 Gr;1908.4;;;12722.67;1;kg;2023-12-23 11:56:06.003
HELLMANN´S;Mayonesa Hellmanns Liviana 475g;;;;1471.58;1;kg;2023-12-23 11:56:06.003
FERRERO;Bombones Ferrero Rocher 8 U;1748.09;;;17480.9;1;kg;2023-12-23 11:56:06.003
ARCOR;Surtido Arcor El Kiosco 246g;3536.0;;Llevando 3: $2357.33 c/u;14373.98;1;kg;2023-12-23 11:56:06.003
REX;Galletitas Rex Original 125 Gr;477.0;;;3816.0;1;kg;2023-12-23 11:56:06.003
ARCOR;Turrón De Maní Arcor 25 Gr;177.0;;Llevando 3: $118.00 c/u;708.0;100;gr;2023-12-23 11:56:06.003
MAÑANITA;Yerba Mate Mañanita 4flex 1/2kg;1410.86;;;2821.72;1;kg;2023-12-23 11:56:06.003
VARIEDAD;Galletitas Dulces Variedad De Terrabusi Nuevo Mix 390g;1059.0;;;2715.38;1;kg;2023-12-23 11:56:06.003
NESCAFE;Nescafé® Tradición X 170gr;;;;16784.65;1;kg;2023-12-23 11:56:06.003
MILKA;Alfajor Triple Oreo 56g;419.06;;;7483.21;1;kg;2023-12-23 11:56:06.003
MATARAZZO;Fideos Matarazzo Tirabuzón N34 X500g;1292.0;;;2584.0;1;kg;2023-12-23 11:56:06.003
LA CAMPAGNOLA;Lomo De Atún Libre De Gluten La Campagnola 300 Gr;3110.0;;;10366.67;1;kg;2023-12-23 11:56:06.003
LAY´S;Papas Lays Clasicas X40g;859.0;;Llevando 2: $558,35 c/u;2147.5;100;gr;2023-12-23 11:56:06.003
PUREZA;Harina Pureza Ultra Refinada 000 X 1kg;451.0;;;451.0;1;kg;2023-12-23 11:56:06.003
NESCAFE;Café Nescafe Gold En Granos X100g;4331.97;;;43319.7;1;kg;2023-12-23 11:56:06.003
MAGGI;Maggi® Puré Original X 200gr;792.2;;;3961.0;1;kg;2023-12-23 11:56:06.003
ARTESANO;Pan Integral Bimbo Artesano X 500g;2594.0;;;5188.0;1;kg;2023-12-23 11:56:06.003
Kit Kat;Oblea Kitkat® Leche 4 Fingers X 41,5gr;448.39;;Llevando 3: $298.93 c/u;1080.46;100;gr;2023-12-23 11:56:06.003
KNORR;Caldo Knorr De Verduras X 12 Cubos;645.0;;;1290.0;100;gr;2023-12-23 11:56:06.003
SALSATI;Puré De Tomate Salsati 520 Gr;413.0;;;794.23;1;kg;2023-12-23 11:56:06.003
TRAVIATA;Galletitas Traviata X506g;1146.0;;;2264.82;1;kg;2023-12-23 11:56:06.003
AZUCEL;Azúcar Azucel Común Tipo A - 1 Kg;1190.66;;;1190.66;1;kg;2023-12-23 11:56:06.003
BIMBO;Pan De Hamburguesa Bimbo Artesano | 4u;1200.0;;;5000.0;1;kg;2023-12-23 11:56:06.003
KESITAS;Galletitas Kesitas 75 Gr;465.0;;;6200.0;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Don Triturado Cuisine & Co 910 Gr;1299.0;;;1427.47;1;kg;2023-12-23 11:56:06.003
LACTAL;Pan Salvado Lactal X 330g;1128.0;;;3418.18;1;kg;2023-12-23 11:56:06.003
GREEN HILLS;Té Green Hills- 50 Saquitos;1152.98;;;11529.8;1;kg;2023-12-23 11:56:06.003
SONRISAS;Galletitas Sonrisas Frambuesa X108g;335.0;;;3101.85;1;kg;2023-12-23 11:56:06.003
LUCHETTI;Fideos Lucchetti Tirabuzón N34 X500g;1026.0;;;2052.0;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Vainillas Cuisine&co X12 U;547.81;;;3701.42;1;kg;2023-12-23 11:56:06.003
LACTAL;Pan Blanco Lactal X 460g;1388.0;;;3017.39;1;kg;2023-12-23 11:56:06.003
AMOR;Galletitas Amor 108g;435.0;;;4350.0;1;kg;2023-12-23 11:56:06.003
CASALTA;Vinagres De Alcohol Casalta X1300ml;940.67;;;723.59;1;lt;2023-12-23 11:56:06.003
DORITOS;Doritos Queso X77g;1464.0;;Llevando 2: $951,6 c/u;18300.0;1;kg;2023-12-23 11:56:06.003
LA MERCED;Yerba Mate La Merced Campo&monteo.c 500g;1982.3;;;3964.6;1;kg;2023-12-23 11:56:06.003
NUTELLA;Nutella 350gr;1834.07;;;5240.2;1;kg;2023-12-23 11:56:06.003
ARCOR;Pure De Tomate Arcor X530g;447.0;;;843.4;1;kg;2023-12-23 11:56:06.003
ANILLOS;Galletitas Dulces Anillitos Clásicos De Terrabusi 170g;453.0;;;2664.71;1;kg;2023-12-23 11:56:06.003
PUREZA;Harina Pureza Integral100%;599.0;;;599.0;1;kg;2023-12-23 11:56:06.003
DOS ANCLAS;Sal Fina Dos Anclas 500 Gr;530.0;;;1060.0;1;kg;2023-12-23 11:56:06.003
PUREZA;Aceite Girasol Pureza 0,9l;1430.0;;;1588.89;1;lt;2023-12-23 11:56:06.003
LA MOLISANA;Pure De Tomate La Molisana Passata X690gr;3509.0;;$4.375;6340.58;1;kg;2023-12-23 11:56:06.003
HELLMANN´S;Ketchup Hellmanns X250g;439.0;;$593;2502.11;1;kg;2023-12-23 11:56:06.003
MOGUL;Gomitas Arcor Mogul Rollo 12 Gr;299.0;;;2491.67;100;gr;2023-12-23 11:56:06.003
OPERA;Galletitas Opera 55 Gr;232.0;;;4218.18;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Palmitos Trozos 800 Gr Cuisine & Co;4450.0;;;8900.0;1;kg;2023-12-23 11:56:06.003
FARGO;Pan Integral Grano Entero Fargo X 350g;1850.0;;;5285.71;1;kg;2023-12-23 11:56:06.003
HELLMANN´S;Mayonesa Hellmanns Clasica Dp X475g;599.0;;$803;1690.53;1;kg;2023-12-23 11:56:06.003
La Providencia;Galletita Cracker La Providencia Clasica X303gr;465.93;;;1553.1;1;kg;2023-12-23 11:56:06.003
HELLMANN´S;Mayonesa Hellmanns Liviana 950g;942.75;1257.0;-25%;1323.16;1;kg;2023-12-23 11:56:06.003
AGUILA;Chocolate Aguila Para Taza 150 Gr;1502.8;;;10018.67;1;kg;2023-12-23 11:56:06.003
NUCETE;Aceite De Oliva Nucete Virgen Lata X500;9179.13;;;18358.26;1;lt;2023-12-23 11:56:06.003
CASERITA;Harina Caserita 0000 1 Kg;768.0;;;768.0;1;kg;2023-12-23 11:56:06.003
CEREALITAS;Galletitas Cracker Cereal Cerealitas Clásicas 212g;557.0;;;2652.38;1;kg;2023-12-23 11:56:06.003
MILKA;Alfajor Simple Milka Mousse 6ux42g;2113.0;;;5030.95;100;gr;2023-12-23 11:56:06.003
MAMA COCINA;Pan Rallado Mamá Cocina 500 Gr;671.0;;;1342.0;1;kg;2023-12-23 11:56:06.003
PEPITOS;Galletitas Pepitos Mini X50g;182.0;280.0;-35%;560.0;100;gr;2023-12-23 11:56:06.003
VOCACION;Galletitas Merengadas Frutilla X88g;437.0;;;5462.5;1;kg;2023-12-23 11:56:06.003
BELDENT;Chicle Mentabeldent 20g;221.0;;;2210.0;100;gr;2023-12-23 11:56:06.003
LEGITIMO;Aceite Girasol Legitimo X900cc;1382.0;;;1535.56;1;lt;2023-12-23 11:56:06.003
OREO;Galletitas Dulces Rellenas Con Crema Oreo Vainilla 354g;1105.65;1701.0;-35%;4805.08;1;kg;2023-12-23 11:56:06.003
KINDER;Kinder Bueno;620.16;;;1442.23;100;gr;2023-12-23 11:56:06.003
PEPITOS;Alfajor Triple Pepitos 57g;410.27;;;7197.72;1;kg;2023-12-23 11:56:06.003
MEDIA TARDE;Galletitas Mediatarde X315g;649.0;;;2060.32;1;kg;2023-12-23 11:56:06.003
LA CAMPAGNOLA;Mermelada La Campagnola Frutill X390g Bc;1832.0;;;4697.44;1;kg;2023-12-23 11:56:06.003
FERRERO;Bombones Ferrero Rocher 24 U;5062.36;;;210.93;1;un;2023-12-23 11:56:06.003
CACHAFAZ;Galletitas Cachafaz Granola;1487.0;;;6608.89;1;kg;2023-12-23 11:56:06.003
SAVORA;Mostaza Savora Original X500gr;557.25;743.0;-25%;1486.0;1;kg;2023-12-23 11:56:06.003
MILKA;Alfajor Triple Milka Mousse 55g;400.44;;;7280.73;1;kg;2023-12-23 11:56:06.003
LAY´S;Papas Fritas Lays Queso Y Cebolla X77g;1384.0;;Llevando 2: $899,6 c/u;17300.0;1;kg;2023-12-23 11:56:06.003
MANTECOL;Postre Mantecol 111g;1109.0;;Llevando 2: $554.50 c/u;9990.99;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Garbanzos Cuisine & Co 300gr;658.0;;;3209.76;1;kg;2023-12-23 11:56:06.003
TARAGUI;Mate Cocido Taragui S/e F.diamantado 5x50x3gr.;973.3;;;6488.67;1;kg;2023-12-23 11:56:06.003
SALADIX;Galletitas Saladix Pizza 100 Gr;599.0;;;5990.0;1;kg;2023-12-23 11:56:06.003
VIGENTE;Pure De Tomate Vigente Brick 520 G;609.95;;;1172.98;1;kg;2023-12-23 11:56:06.003
PUREZA;Harina Pureza Leudante Ultra Ref X1kg;519.99;;;519.99;1;kg;2023-12-23 11:56:06.003
SHOT;Alfajor Shot Triple Relleno De Chocolate Con Maní 60g;436.78;;;7279.67;1;kg;2023-12-23 11:56:06.003
SALADIX;Galletitas Saladix Pizza X 30grs;186.0;;;620.0;100;gr;2023-12-23 11:56:06.003
COFLER;Chocolate Cofler Block Con Maní 110 Gr;1154.0;;Llevando 3: $769.33 c/u;10490.91;1;kg;2023-12-23 11:56:06.003
HILERET;Endulzante Hileret Light X 500 Gr;1310.4;;;2620.8;1;kg;2023-12-23 11:56:06.003
HILERET;Endulzante Hileret Clasico Forte X 500 Ml.;1652.56;;;3305.12;1;lt;2023-12-23 11:56:06.003
FARGO;Pan Salvado Plus Fargo X 600g;2450.0;;;4083.33;1;kg;2023-12-23 11:56:06.003
BAGLEY;Galletas Cereales Bagley Salvado X507g;1153.0;;Llevando 2: $749,45 c/u;2274.16;1;kg;2023-12-23 11:56:06.003
BON O BON;Oblea Bañada Rhodesia 22gr;305.0;;Llevando 2: $152.50 c/u;1386.36;100;gr;2023-12-23 11:56:06.003
LA ESPAÑOLA GOURMET;Lentejas La Española Gourmet 400 Gr;803.45;;;2008.63;1;kg;2023-12-23 11:56:06.003
DORITOS;Nachos Doritos Sabor Queso X40g;859.0;;Llevando 2: $558,35 c/u;2147.5;100;gr;2023-12-23 11:56:06.003
PASEO;Galletitas Paseo Cinco Semillas 250gr;431.0;;;1724.0;1;kg;2023-12-23 11:56:06.003
ARTESANO;Pan De Semillas Bimbo Artesano X 500g;2594.0;;;5188.0;1;kg;2023-12-23 11:56:06.003
MILKA;Bombón De Chocolate Milka Oreo 19g;119.62;;Llevando 3: $79.75 c/u;629.58;100;gr;2023-12-23 11:56:06.003
DOS ANCLAS;Sal Fina Dos Anclas X500gr;540.0;;;1080.0;1;kg;2023-12-23 11:56:06.003
FERRERO;Bombones Ferrero Rocher 3 U;624.92;;;1644.53;100;gr;2023-12-23 11:56:06.003
OROWEAT;Pan Con Cereales Oroweat X 600g;2891.0;;;4818.33;1;kg;2023-12-23 11:56:06.003
CELUSAL;Sal Fina Celusal 500 Gr;397.0;;;794.0;1;kg;2023-12-23 11:56:06.003
PRINGLES;Papas Pringles Crema Y Cebolla X124g;1856.96;;;15474.67;1;kg;2023-12-23 11:56:06.003
PRESTOPRONTA;Harina De Maíz Presto Pronta 500 Gr;566.0;;Llevando 2: $283.00 c/u;1132.0;1;kg;2023-12-23 11:56:06.003
MILKA;Alfajor Triple Milka Dulce De Leche 70g;383.01;;;5471.57;1;kg;2023-12-23 11:56:06.003
RHODESIA;Oblea Rhodesia Clásica 4ux22g;1167.0;;Llevando 2: $583.50 c/u;13261.36;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Lentejas Cuisine & Co 300gr;684.0;;;3336.59;1;kg;2023-12-23 11:56:06.003
CACHAFAZ;Galletitas Integral Cachafaz Avena Con Chips De Chocolate 225 Gr;1487.0;;;6608.89;1;kg;2023-12-23 11:56:06.003
CASERITA;Harina Caserita 000 1 Kg;581.0;;;581.0;1;kg;2023-12-23 11:56:06.003
ARTESANO;Pan De Panchos Bimbo Artesano X 6u;1200.0;;;5000.0;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Champignones Laminados Cuisine & Co;1861.0;;;8091.3;1;kg;2023-12-23 11:56:06.003
VERDEFLOR;Yerba Mate Verdeflor Con Palo Hierbas 500 Gr;968.6;1490.15;-35%;2980.3;1;kg;2023-12-23 11:56:06.003
LAY´S;Papas Fritas Lays Jamon Serrano X77g;1588.0;;Llevando 2: $1.032,2 c/u;19850.0;1;kg;2023-12-23 11:56:06.003
QUAKER;Quaker Avena Instantanea X500g;1568.0;;;3.14;1;kg;2023-12-23 11:56:06.003
SHOT;Chocolate Con Maní Shot 35g;407.0;;Llevando 3: $271.33 c/u;1162.86;100;gr;2023-12-23 11:56:06.003
CACHAFAZ;Conito Cachafaz De Chocolote 228 Gr;3434.0;;Llevando 2: $1717.00 c/u;15061.4;1;kg;2023-12-23 11:56:06.003
LA CAMPAGNOLA;Mermelada La Campagnola Aranda X390g Bc;1816.0;;;4656.41;1;kg;2023-12-23 11:56:06.003
JUMBO MP;Fideos Spaghetti Jumbo 500 Gr;765.0;;;1530.0;1;kg;2023-12-23 11:56:06.003
GRANIX;Copos De Maíz Tradicionales Granix 400 Gr;780.55;;;1951.38;1;kg;2023-12-23 11:56:06.003
STARBUCKS;Starbucks® Nespresso® Blonde Espresso X 10un;4185.47;;;418.55;1;un;2023-12-23 11:56:06.003
9 DE ORO;Bizcochos 9 De Oro Agridulces 100g;448.0;;;4480.0;1;kg;2023-12-23 11:56:06.003
DOS ANCLAS;Sal Gruesa Dos Anclas 500 Gr;436.0;;;872.0;1;kg;2023-12-23 11:56:06.003
LINCOLN;Galletitas Lincoln Clasicas X219g;708.0;;;3218.18;1;kg;2023-12-23 11:56:06.003
FARGO;Pan Mix De Cereales Fargo X 400g;1658.0;;;4145.0;1;kg;2023-12-23 11:56:06.003
HOJALMAR;Galletitas Hojalmar Triangulitos De Hojaldre 150 Gr;414.0;;;2760.0;1;kg;2023-12-23 11:56:06.003
MATARAZZO;Fideos Matarazzo Penne X500g;1110.0;;;2220.0;1;kg;2023-12-23 11:56:06.003
LA CAMPAGNOLA;Mermelada La Campagnola Ciruela X390g Bc;1135.0;;;2910.26;1;kg;2023-12-23 11:56:06.003
SWIFT;Picadillo De Carne Swift 90 Gr;370.0;;;4111.11;1;kg;2023-12-23 11:56:06.003
BAGLEY;Alfajor Triple Negro Bob 60 Gr;587.0;;;9783.33;1;kg;2023-12-23 11:56:06.003
HOGAREÑAS;Galletitas Hogareñas Salvado 200g;416.0;;;2080.0;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Jardinera Cuisine & Co 300gr;687.0;;;3122.73;1;kg;2023-12-23 11:56:06.003
CASALTA;Aceto Balsámico Casalta Redución 400 Ml;3761.43;;;9403.58;1;lt;2023-12-23 11:56:06.003
OREO;Galletitas Dulces Rellenas Con Crema Sabor Frutilla Oreo 118g;;;;5033.9;1;kg;2023-12-23 11:56:06.003
TARAGUI;Té Taragui S/e Filtro Diamantado X 50saq;735.89;;;7358.9;1;kg;2023-12-23 11:56:06.003
Maxima MP;Atún Desmenuzado Maxima Te Conviene En Agua Y En Aceite 120 Gr;1029.0;;;8575.0;1;kg;2023-12-23 11:56:06.003
LACTAL;Pan Blanco Lactal X 315g;962.0;;;3103.23;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Galletitas Con Avena Y Pasas 186gr C&c;789.73;;;4245.86;1;kg;2023-12-23 11:56:06.003
BIMBO;Pan Blanco Bimbo X 400g;1508.0;;;3770.0;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Tu Polenta - Harina De Maiz Instantanea;366.45;;;732.9;1;kg;2023-12-23 11:56:06.003
ROYAL;Gelatina Royal Frutilla Regular 25g;246.0;;;984.0;100;gr;2023-12-23 11:56:06.003
DUQUESA;Galletitas Dulces Rellenas Con Crema Duquesa De Terrabusi 115g;202.0;;;1756.52;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Galletitas C/chips Chocolate 186grc&c;789.73;;;4245.86;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Mermelada De Durazno Cuisine & Co;776.41;;;1706.4;1;kg;2023-12-23 11:56:06.003
FRANCE;Pan Dulce France Con Frutas Paquete 400 Grs.;719.0;;$1.199;2997.5;1;kg;2023-12-23 11:56:06.003
BARILLA;Fideos Spaghetti Barilla 500 Gr;5868.15;;;11736.3;1;kg;2023-12-23 11:56:06.003
HEINZ;Mayonesa Heinz 350gr;;;;2772.73;1;kg;2023-12-23 11:56:06.003
MOGUL;Gomitas Mogul Conitos 1 Kg;4990.0;;;4990.0;1;kg;2023-12-23 11:56:06.003
ROYAL;Flan Royal Vainilla 60g;151.0;;;2516.67;1;kg;2023-12-23 11:56:06.003
MANTECOL;Postre Mantecol Bajo En Sodio 404g;3816.0;;Llevando 2: $1908.00 c/u;9445.54;1;kg;2023-12-23 11:56:06.003
FRUTIGRAN;Galletitas Frutigran Con Chips De Chocolate 255 Gr;774.52;;Llevando 2: $503,44 c/u;3037.33;1;kg;2023-12-23 11:56:06.003
BELDENT;Chicle Sabor Chicle Globo Beldent 20g;400.0;;;4000.0;100;gr;2023-12-23 11:56:06.003
CBSE;Yerba Mate Cbsé Hierbas Serranas X500g;1555.85;;Llevando 2: $1.166,89 c/u;3111.7;1;kg;2023-12-23 11:56:06.003
CBSE;Yerba Mate Cbsé Naranja X500g;1555.85;;Llevando 2: $1.166,89 c/u;3111.7;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Lentejas Secas Cuisine & Co 400gr;1026.17;;;2565.43;1;kg;2023-12-23 11:56:06.003
ROCKLET´S;Confites Rocklet´s Chocolate;280.0;;;1400.0;100;gr;2023-12-23 11:56:06.003
DOS HERMANOS;Galleta De Arroz Slim Dos Hermanos Salada X100 Gr;545.13;;;5451.3;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Tostadas De Arroz Aireadas 110 Gr C&co;665.48;;;6049.82;1;kg;2023-12-23 11:56:06.003
CUISINE & CO NBE MP;Choclo S/sal Agregada Cuisine & Co 300gr;1120.0;;;5463.41;1;kg;2023-12-23 11:56:06.003
TITA;Tita Clásica 19g;276.0;;Llevando 2: $138.00 c/u;1452.63;100;gr;2023-12-23 11:56:06.003
TARAGUI;Mate Cocido Taragui S/e F.diamantado 4x100x3gr;1852.02;;;6173.4;1;kg;2023-12-23 11:56:06.003
LUCHETTI;Fideos Lucchetti Mostachol N51 X500g;1026.0;;;2052.0;1;kg;2023-12-23 11:56:06.003
