Brand;Description;Final_price;Original_price;Discount;Regular_price;sku
GRANIX;Galletitas Granix Salvado X240gr;$479,15;;;Precio regular: $1.996,46 x kg;301338
BIMBO;Pan Brioche De Hamburguesa Artesano X 4u;$1.658;;;Precio regular: $6.908,33 x kg;386149
ALICANTE;Coco Rallado Alicante St X50g;$509;;;Precio regular: $10,18 x lt;342875
HOJALMAR;Galletitas Hojalmar Larguitas De Hojaldre 150 Gr;$414;;;Precio regular: $2.760 x kg;2757
TARAGUI;Yerba Mate Taragui 4flex Sin Palo 500g;$1.416,5;;;Precio regular: $2.833 x kg;318736
BIGGYS;Pochoclo Acaramelados Biggys X 60gr;$312;;;Precio regular: $5.200 x kg;306619
PASTA SOLE;Fideos Pasta Sole Tirabuzon X500 Gr;$621,08;;;Precio regular: $1.242,16 x kg;400254
OPERA;Galletitas Obleas Opera Chocolate X68g;$410;;;Precio regular: $6.029,41 x kg;339714
FRUTIGRAN;Galletitas Frutigran Avena Y Pasas 250 Gr;$758,69;;;Precio regular: $3.034,76 x kg;5734
STARBUCKS;Starbucks® Nespresso® Pike Place X 10un;$4.185,47;;;Precio regular: $418,55 x un;312509
ALICANTE;Bicarbonato De Sodio Alicante St X50g;$375;;;Precio regular: $750 x 100 gr.;342880
ROYAL;Gelatina Royal Frutos Rojos 25g;$419;;;Precio regular: $1.676 x 100 gr.;386164
KRACH-ITOS;Papas Krach-itos Corte Americano X115g;$1.331;;;Precio regular: $11.573,91 x kg;387604
ALICANTE;Oregano Alicante St X50gr;$1.311;;;Precio regular: $2.622 x 100 gr.;336771
BIMBO;Pan Integral Cero Cero Bimbo 350g;$2.553;;;Precio regular: $7.294,29 x kg;403600
NATURA;Mostaza Natura;$840;;;Precio regular: $1.680 x kg;28934
GRANAGUA;Galletitas De Agua Granagua 200 Gr;$342,69;;;Precio regular: $1.713,45 x kg;5739
CUISINE & CO NBE MP;Arveja S/sal Agregada Cuisine & Co 300gr;$464;;;Precio regular: $2.263,41 x kg;343448
VARIEDAD;Galletitas Dulces Variedad De Terrabusi Mix Vainilla 300g;$741;;;Precio regular: $2.470 x kg;386181
ALICANTE;Provenzal Alicante St X50gr;$1.116;;;Precio regular: $2.232 x 100 gr.;336772
GRANIX;Copos De Maíz Granix Skarchitos 240 Gr;$525,87;;;Precio regular: $2.191,13 x kg;31030
NESQUIK;Nesquik® Cereal X 400gr;$2.345,76;;;Precio regular: $5.864,4 x kg;392418
FARGO;Pan Blanco Lacteado Fargo 330g;$1.768;;;Precio regular: $5.357,58 x kg;403592
CUISINE & CO NBE MP;Tostadas Finas clásicas 140gr C&co;$1.130,93;;;Precio regular: $8.078,07 x kg;309292
KNORR;Caldo Knorr Sabor Gallina X 12 Cubos;$645;;;Precio regular: $5.657,89 x kg;387872
CUISINE & CO NBE MP;Miss Hojaldre - Triangulitas Cuisine & Co 150 Gr;$654;;;Precio regular: $4.360 x kg;309267
FAVINCO;Vinagre Favinco De Alcohol X1300ml;$940,67;;;Precio regular: $723,59 x lt;391148
ROYAL;Gelatina Sin Sabor Royal 14g;$245;;;Precio regular: $1.750 x 100 gr.;45471
LA MERCED;Yerba Mate La Merced Monte O.c 500g;$1.982,3;;;Precio regular: $3.964,6 x kg;318739
ZUCARITAS;Copos De Maiz Zucarita Kelloggs X490g;$2.151,28;;;Precio regular: $4.390,37 x kg;392150
UNION;Mate Cocido Unión S/e F.diamantado 5x50x3gr;$914,66;;;Precio regular: $6.097,73 x kg;320480
OPERA;Galletitas Obleas Opera Frutilla X68g;$300;;;Precio regular: $4.411,76 x kg;339715
CASERITA;Harina Caserita Leudante 1 Kg;$872;;;Precio regular: $872 x kg;2362
GREEN HILLS;Té Green Hills Saquitos 200 Gr;$2.232,3;;;Precio regular: $11.161,5 x kg;2780
DON VICENTE;Fideos Don Vicente Fettuccini X500g;$1.683;;;Precio regular: $3.366 x kg;407183
MATARAZZO;Fideos Matarazzo Tirabuzón N28 X500g;$1.075;;;Precio regular: $2.150 x kg;407211
ALCAZAR;Vinagre Alcazar De Alcohol X 500 Cc.;$321;;;Precio regular: $642 x lt;60013
LADDU BAR;Barra Laddu Bar Vegana Brownie X 30g;$478;;;Precio regular: $1.593,33 x 100 gr.;374131
JORGITO;Alfajor Negro Con Dulce De Leche Jorgito Mini 155 Gr;$1.359,06;;;Precio regular: $8.768,13 x kg;29364
GIACOMO;Capelettini Giacomo Tridicci 500g;$1.718;;;Precio regular: $3.436 x kg;336065
CABRALES;Capsulas Cabrales Super X55g;$4.980,66;;;Precio regular: $90.557,45 x kg;335434
KINDER;Kinder Chocolate 12,5 Gr;$153,28;;;Precio regular: $1.226,24 x 100 gr.;17639
DOS HERMANOS;Galleta De Arroz Slim Dos Hermanos Dulce X100 Gr;$545,13;;;Precio regular: $5.451,3 x kg;245364
OREO;Galletitas Oreo Chocolate X118g;$456,95;$703;-35%;Precio regular: $5.957,63 x kg;391526
LACTAL;Pan Con Salvado Con Semillas De Chia Y De Lino Lactal 330g;$1.664;;;Precio regular: $5.042,42 x kg;403585
9 DE ORO;Sconcitos 9 De Oro 200 Gr;$713;;;Precio regular: $3.565 x kg;20175
FRESH MP;Palmeritas De Manteca 200 Gr;$1.266,85;$1.949;-35%;Precio regular: $9.745 x kg;18166
MORIXE;Pan Rallado Morixe 500 Gr;$814;;;Precio regular: $1.628 x kg;293852
FERRERO;Bombones Ferrero Rocher 4 U;$858,11;;;Precio regular: $621,82 x kg;300507
PASEO;Galletitas Paseo De Agua Sin Sal 250gr;$379;;;Precio regular: $1.516 x kg;329410
SERENATA;Garrapiñada Serenata De Maní X 80 Gr;$249;2x1;Llevando 2: $124.50 c/u;Precio regular: $3.112,5 x kg;24376
QUAKER;Avena Quaker Extra Fina 470g;$1.200,13;;;Precio regular: $2.553,47 x kg;319793
TIC TAC;Pastillas Tic Tac Menta 33 U;$176,07;;;Precio regular: $1.100,44 x 100 gr.;30217
CEREAL MIX;Barras De Cereal Arcor Mix Original X 92 G;$1.206;;;Precio regular: $13.108,7 x kg;347649
REX;Galletitas Rex Original Tubo 75 Gr;$352;;;Precio regular: $4.693,33 x kg;42596
CUISINE & CO NBE MP;Fideos Dedalitos C&c;$879;;;Precio regular: $1.758 x kg;338134
LACTAL;Pan De Pancho Lactal X 210g;$826;;;Precio regular: $3.933,33 x kg;386813
CUISINE & CO NBE MP;Papas Fritas Corte Americano C& Co 150gr.;$1.680;;;Precio regular: $11.200 x kg;325710
LAY´S;Papas Lays Cheddar X77g;$1.588;;;Precio regular: $22.685,71 x kg;395382
Molinos Ala;Arroz Molinos Ala Ita Caabó Largo Fino 1k;$1.766;;;Precio regular: $1.766 x kg;350361
MAGGI;Caldo Maggi Verduras X57g;$160,34;;;Precio regular: $2.812,98 x kg;344847
LA VIRGINIA;Te La Virginia Naturalidad Intacta X50s;$1.249;;;Precio regular: $24,98 x un;336664
BIMBO;Vainillas Bimbo X 36u;$1.839;;;Precio regular: $4.132,58 x kg;389439
CELUSAL;Sal Fina Celusal 500 Gr;$454;;;Precio regular: $908 x kg;2961
MILKA;Chocolate Con Leche Milka 55g;$640;;;Precio regular: $11.636,36 x kg;251541
BARILLA;Fideos Penne Rigate Barilla 500 Gr;$6.330,45;;;Precio regular: $12.660,9 x kg;2925
SHOT;Chocolate Con Maní Shot 90g;$871,82;;;Precio regular: $9.686,89 x kg;28764
LADDU BAR;Barra Laddu Bar Vegan Frutos Rojos X 30g;$478;;;Precio regular: $1.593,33 x 100 gr.;374145
CACHAFAZ;Galletitas Cachafaz;$1.487;;;Precio regular: $6.608,89 x kg;28204
MORIXE;Harina Para Pizzas Morixe X1kg;$1.465;;;Precio regular: $1.465 x kg;347954
CUISINE & CO NBE MP;Pepas Cuisine&co Batata X300gr;$715,29;;;Precio regular: $2.384,3 x kg;316890
LAY´S;Papas Fritas Lays Jamon Serrano X34g;$789;;;Precio regular: $2.320,59 x 100 gr.;395388
HILERET;Endulzante Hileret Stevia X 200 Ml;$1.964,56;;;Precio regular: $9.822,8 x lt;22373
LADDU BAR;Barra Laddu Bar Vegana Arandanos X 30g;$478;;;Precio regular: $1.593,33 x 100 gr.;374136
ARCOR;Mermelada Arcor Frutilla +fruta X454g;$1.543;;;Precio regular: $3.398,68 x kg;337044
MAGGI;Maggi® Caldo Verdura X 12u.;$358,73;;;Precio regular: $3.146,75 x kg;339440
LA CAMPAGNOLA;Arvejas La Campagnola X195g;$384;;;Precio regular: $1.280 x kg;352096
LA PERLA;Pan Para Panchos La Perla 220g;$770;;;Precio regular: $3.500 x kg;401116
CUISINE & CO NBE MP;Mermelada Durazno Reducida Calorias C&co;$816,82;;;Precio regular: $2.094,41 x kg;309184
NATURA;Aderezo Ketchup Natura 500 Gr;$1.237;;;Precio regular: $2.474 x kg;36047
EXQUISITA;Brownies Exquisita Ldg X400gr;$2.614;;;Precio regular: $6.535 x kg;348283
DULCE MAMA;Budin Dulce Mama - Sabor Vainilla - 170 Gr;$239,4;$399;-40%;Precio regular: $2.347,06 x kg;315178
KINDER;Kinder Chocolate 4 U;$562,65;;;Precio regular: $1.125,3 x 100 gr.;20477
CUISINE & CO NBE MP;Biscuits Cuisine & Co 125gr;$528,53;;;Precio regular: $4.228,24 x kg;340096
COQUITAS;Galletitas Melitas 159g;$400;;;Precio regular: $2.515,72 x kg;388352
ARCOR;Mermelada Arcor Light Frasco Duraz X390g;$878;;;Precio regular: $2.251,28 x kg;340562
BELDENT;Chicle Menta Beldent Infinit 13,3g;$279;;;Precio regular: $2.146,15 x 100 gr.;385568
Kit Kat;Oblea Kitkat® Dark 4 Fingers X 41,5gr;$412,42;;;Precio regular: $993,78 x 100 gr.;238229
OREO;Galletitas Dulces Rellenas Con Crema Oreo 182,5g;$607,1;$934;-35%;Precio regular: $5.188,89 x kg;387754
ARCOR;Garrapiñadas Arcor De Maní X 80 Gr;$776;2x1;Llevando 2: $388.00 c/u;Precio regular: $9.700 x kg;46261
BON O BON;Bon O Bon Leche 270 Gr;$4.024;;;Precio regular: $14.903,7 x kg;251552
NOBLEZA GAUCHA;Yerba Mate Nobleza Gaucha Suave X1kg Sin Tacc;$2.319;;;Precio regular: $2.319 x kg;343640
LA VIRGINIA;Café La Virginia Molido 500gr;$4.496;;;Precio regular: $8.992 x kg;331870
LA CAMPAGNOLA;Jardinera La Campagnola Hortalizas Y Legumbres X300g;$570;;;Precio regular: $1.900 x kg;392887
ARTESANO;Turron Artesano Torta Alicante 150 Gr;$9.765;2x1;Llevando 2: $4882.50 c/u;Precio regular: $65.100 x kg;13261
NESCAFE;Café Nescafe Dolca Latte Mix X125g;$954,59;2do al 80%;Llevando 2: $572,75 c/u;Precio regular: $7.636,72 x kg;348305
PEHUAMAR;Papas Fritas Pehuamar Lisa X485g;$3.994;;;Precio regular: $8.320,83 x kg;395371
NATURA;Mostaza Natura;$502;;;Precio regular: $2.008 x kg;26681
COFLER;Alfajor Cofler Block 60 Gr;$518;;;Precio regular: $8.633,33 x kg;238894
SALSATI;Pulpa De Tomate Salsati 520 Gr;$395;;;Precio regular: $759,62 x kg;5863
CABRALES;Cafe Cabrales Espressarte Dimattina 55 Gr;$5.418,24;;;Precio regular: $98.513,45 x kg;24821
CUISINE & CO NBE MP;Maíz Pisingallo Cuisine & Co 400gr;$648,99;;;Precio regular: $1.622,48 x kg;340517
TRIX;Trix® Cereal X 330gr;$1.682,28;;;Precio regular: $5.097,82 x kg;152632
GREEN HILLS;Té Green Hills - 25 Saquitos;$611,63;;;Precio regular: $1.223,26 x 100 gr.;2752
ALICANTE;Pimenton Alicante St X25g;$500;;;Precio regular: $2.000 x 100 gr.;342886
ARTESANO;Turrón Artesano Jijona X150g;$7.339,5;2x1;Llevando 2: $3669.75 c/u;Precio regular: $48.930 x kg;13259
9 DE ORO;Bizcochos Agridulces 9 De Oro 200 Gr;$1.037;;;Precio regular: $5.185 x kg;10339
TIC TAC;Pastillas Tic Tac Naranja 33 U;$176,07;;;Precio regular: $1.100,44 x 100 gr.;40548
MR POP´S;Chupetin Mr.pops Evolution Blueberry 432 Gr;$1.171,04;;;Precio regular: $2.710,74 x kg;245719
HEINZ;Mayonesa Heinz 850gr;$2.321;;;Precio regular: $2.730,59 x kg;258197
TERRABUSI;Alfajor Terrabusi Blanco Glaseado 6ux38g;$1.825;;;Precio regular: $8.004,39 x kg;43456
FRUTIGRAN;Galletitas Frutigran Con Chia Y Lino 240 Gr;$608,91;;;Precio regular: $2.537,13 x kg;32476
ROCKLET´S;Confites Rocklets De Chocolate 40 Gr;$594;;;Precio regular: $1.485 x 100 gr.;13425
CUISINE & CO NBE MP;Tostadas Clasicas 200 Gr Cuisine & Co;$879,33;;;Precio regular: $4.396,65 x kg;309295
NATURA;Aceite De Oliva Natura Virgen 120 Ml;$1.454;;;Precio regular: $12.116,67 x kg;45344
LAY´S;Papas Fritas Lays Queso Y Cebolla X34g;$789;;;Precio regular: $2.320,59 x 100 gr.;395389
BIMBO;Vainillas Bimbo X 12u;$685;;;Precio regular: $4.628,38 x kg;389443
DONUTS;Galletitas Donuts Chocolate Blanco 78 Gr;$687,83;;;Precio regular: $8.818,33 x kg;15426
NESCAFE;Nescafé® Dolce Gusto® Capuccino Dulce De Leche X 16u.;$4.089,49;;;Precio regular: $15.146,26 x kg;399823
LETIZIA;Harina De Trigo Letizia 000 X1kg;$432;;;Precio regular: $432 x kg;288862
PRESTOPRONTA;Harina Presto Pronta De Maíz Precocida X730;$860;;;Precio regular: $1.178,08 x kg;347787
CROWIE;Barrita De Arroz Crowie Chocolate Negro 3 U;$769;;;Precio regular: $6.408,33 x 100 gr.;254420
LA LECHERA;La Lechera® Nutrifuerza X 800gr;Llevando 2: $NaN c/u;;;Precio regular: $5.286,76 x kg;392428
CUISINE & CO NBE MP;Granola Con Pasas Cuisine&co 320gr;$1.631,76;;;Precio regular: $5.099,25 x kg;394778
BIMBO;Madalenas Rellenas Con Ddl Bimbo X 180g;$777;;;Precio regular: $4.089,47 x kg;387541
ROYAL;Gelatina Royal Regular Frambuesa X25g;$264;;;Precio regular: $1.056 x 100 gr.;386592
QUAKER;Quaker Avena Tradicional X550g;$1.568;;;Precio regular: $2.850,91 x kg;388990
BAGLEY;Pan Dulce Bagley C/frutas X400gr;Llevando 2: $NaN c/u;;;Precio regular: $7.615 x kg;299597
SHIVA;Shiva Mix De Semillas X 100 G Sin Tacc;$1.112,8;;;Precio regular: $11.128 x kg;336441
MATARAZZO;Fideos Matarazzo Penne Rigate N45 X500g;$1.335;;;Precio regular: $2.670 x kg;403653
CUISINE & CO NBE MP;Mermelada De Ciruela Cuisine & Co;$824,25;;;Precio regular: $1.811,54 x kg;309408
MOLTO;Duraznos En Trozos Molto 340g;$667;;;Precio regular: $1.961,76 x kg;391529
LA CAMPAGNOLA;Porotos La Campagnola Alubia X300g;$581;;;Precio regular: $1.936,67 x kg;349547
HEINZ;Mayonesa Heinz Light Doy-pack X350gr;$1.243;;;Precio regular: $3.531,25 x kg;299835
DOS ANCLAS;Sal Entrefina Dos Anclas 500 Gr;$602;;;Precio regular: $1.204 x kg;24638
LA VIRGINIA;Cafe L Virginia Capsulas Equilibrio X52g;$3.672;;;Precio regular: $367,20 x un;346858
CUISINE & CO NBE MP;Ananá En Rodajas Cuisine & Co 140 Gr;Llevando 2: $NaN c/u;;;Precio regular: $10.321,43 x kg;309822
CRIOLLITAS;Criollitas Tostadas Salvado 195gr;$764;;;Precio regular: $3.917,95 x kg;319960
SALSATI;Salsa Salsati Italiana X340g;$479;;;Precio regular: $1.408,82 x kg;336621
ARCOR;Chupetín Trompito Frutal 11 Gr;$1.523;;;Precio regular: $12.927,6 x 100 gr.;16756
CUISINE & CO NBE MP;Madalenas Chocolate Con Ddl C&co 180 G;$776,88;;;Precio regular: $4.316 x kg;386234
LA PARMESANA;Orégano La Parmesana 25 Gr;$252;;;Precio regular: $1.008 x 100 gr.;25682
CELUSAL;Sal Fina Celusal 500 Gr;$1.345;;;Precio regular: $2.690 x kg;2955
HELLMANN´S;Salsa Barbacoa Hellmanns 250g;$515;;;Precio regular: $2.060 x kg;332239
AGUILA;Alfajor Minitorta Brownie 69 G;$620;;;Precio regular: $8.732,39 x kg;350366
BELDENT;Chicle Mentol Beldent 20g;$221;;;Precio regular: $2.210 x 100 gr.;329809
HELLMANN´S;Aderezo De Ajo Ahumado Hellmanns X250gr;$792;;;Precio regular: $3.168 x kg;383754
JORGITO;Alfajores Mini Jorgito Blanco 155 Gr;$1.359,12;;;Precio regular: $8.768,52 x kg;29327
KINDER;Huevo Kinder Sorpresa X40gr;$1.080,41;;;Precio regular: $2.701,03 x 100 gr.;243817
MATARAZZO;Fideos Matarazzo Tallarín N5 X500g;$1.075;;;Precio regular: $2.150 x kg;407200
SUGUS;Caramelos Sugus Confitadosx50gr;$405,12;;;Precio regular: $810,24 x 100 gr.;379482
HILERET;Endulzante Hileret Zucra X 400 Ml;$2.328,56;;;Precio regular: $5.821,4 x lt;22439
LA CAMPAGNOLA;Mayonesa La Campagnola X1000g;$1.154;;;Precio regular: $1.154 x kg;349202
NESQUIK;Nesquik® Cereal X 210gr;$1.320,55;;;Precio regular: $6.288,33 x kg;392429
PERGOLA;Bicarbonato De Sodio Pergola Sin Tacc 50 Gr;$147,68;;;Precio regular: $295,36 x 100 gr.;261327
CASERITA;Harina Caserita Comun Para Pizza Paquete 1 Kg;$799;;;Precio regular: $799 x kg;118666
JUMBO MP;Snack De Arroz Jumbo Bajo En Sodio 45 Gr;$241,71;;;Precio regular: $537,13 x 100 gr.;15215
CHEETOS;Palitos De Maiz Cheetos Queso X43g;$855;;;Precio regular: $1.988,37 x 100 gr.;394948
NESCAFE;Nescafé® Tradición X 120gr;$2.089,74;;;Precio regular: $17.414,5 x kg;385759
GRANIX;Bocaditos De Cereal Rellenos Con Frutilla Granix 180 Gr;$752,9;;;Precio regular: $4.182,78 x kg;13277
LAY´S;Papas Fritas Lays Jamon Serrano X122g;$1.264,52;$1.686,03;-25%;Precio regular: $14.050,25 x kg;395397
HELLMANN´S;Ketchup Hellmanns X400g;$1.485;;;Precio regular: $3.712,5 x kg;350079
GEORGALOS;Caramelos Flynn Paff Tutti Frutti 128 Gr;$821,75;;;Precio regular: $6.419,92 x kg;1832
DULCE MAMA;Budin Dulce Mamá Marmolado 170g;$239,4;$399;-40%;Precio regular: $2.347,06 x kg;315180
ROCKLET´S;Confites Rocklets Mini 150 Gr;$1.288;;;Precio regular: $8.586,67 x kg;37617
ARCOR;Maní Con Chocolate Arcor;$1.316;2x1;Llevando 2: $658.00 c/u;Precio regular: $16.450 x kg;15713
KINDER;Chocolate Kinder Relleno X 20 Gr;$280,25;;;Precio regular: $1.401,25 x 100 gr.;22475
NESTLE;Nestlé® Leche Condensada Orgánica X 395gr;$1.577,45;;;Precio regular: $3.993,54 x kg;406473
INALPA;Choclo Amarillos Inalpa Enteros X300gr;$744,15;;;Precio regular: $2.480,5 x kg;346908
GALLO;Gallo Snacks Oblea De Arroz Chocobar 20 Gr.;$388;;;Precio regular: $1.940 x 100 gr.;7557
MAZOLA;Aceite De Girasol Mazola Manteca 120 Ml;$1.144;;;Precio regular: $9.152 x lt;41226
ALICANTE;Aji Molido Alicante X50gr;$812;;;Precio regular: $1.624 x 100 gr.;339384
CUISINE & CO NBE MP;Aceite De Oliva Extra Virgen 1l C&c;$16.486,27;;;Precio regular: $16.486,27 x lt;337885
BON O BON;Caja Bon O Bon Pinito Navidad X15g;$2.144;;;Precio regular: $14.293,33 x kg;404305
CUISINE & CO NBE MP;Te Manzanilla C/sob C&co 25 Saq 50 Gr;$543,62;;;Precio regular: $1.087,24 x 100 gr.;385127
FRITOLIM;Aceite Oliva En Aerosol Fritolim X120 Gr;$1.110,59;;;Precio regular: $8.814,21 x lt;39441
CUISINE & CO NBE MP;Mermelada Ciruela Reducida Calorias C&co;$859,95;;;Precio regular: $2.205 x kg;309187
ARMONIA;Leche En Polvo Modificada Armonia X400gr;$1.397,76;;;Precio regular: $3.494,4 x kg;313879
HELLMANN´S;Mayonesa Hellmanns Liviana 237g;$423;;;Precio regular: $1.784,81 x kg;386228
FORMIS;Galletitas Polvorita Vainilla 81g;$254;;;Precio regular: $3.135,8 x kg;386131
VALENTE;Vainillas Valente X 36u;$1.652;;;Precio regular: $3.712,36 x kg;389429
CUISINE & CO NBE MP;Porotos Cuisine & Co 300gr;$616;;;Precio regular: $3.004,88 x kg;343438
PEP;Palitos Pep 40 Gr;$324;;;Precio regular: $810 x 100 gr.;36502
WAKAS;Pasta Multicereal Wakas 250 Gr;$1.683;;;Precio regular: $6.732 x kg;8195
BAGLEY NEGRO;Alfajor Byn Bagley Blanco X50g;$431;;;Precio regular: $862 x 100 gr.;396717
CUISINE & CO NBE MP;Madalenas Vainilla Cuisine & Co 200 Gr;$776,88;;;Precio regular: $3.884,4 x kg;384162
KNORR;Bolsas Para Horno Knorr Limon Y Oregano 21g;$385;;;Precio regular: $1.833,33 x 100 gr.;336105
CUISINE & CO NBE MP;Rocio Vegetal De Girasol En Aerosol C&co 120 Gr;$1.329;;;Precio regular: $10.632 x lt;305693
CHOCOARROZ;Alfajor Chocoarroz Dulce De Leche 22g;$520;;;Precio regular: $2.363,64 x 100 gr.;330530
CUISINE & CO NBE MP;Madalenas Marmoladas Cuisine & Co 200 Gr;$776,88;;;Precio regular: $3.884,4 x kg;384163
DOS ANCLAS;Ajo Deshidratado Dos Anclasx20g;$432;;;Precio regular: $2.160 x 100 gr.;347326
PASEO;Galletitas Mini Marineras Paseo 220 Gr;$595;;;Precio regular: $2.704,55 x kg;33360
GRANAGUA;Galletitas De Agua Granagua 600 Gr;$1.353,63;;;Precio regular: $22.560,5 x kg;5741
CELUSAL;Sal Celusal Entrefina X500gr;$346;;;Precio regular: $692 x kg;299279
GRANIX;Copos De Maíz Tradicionales Granix 160 Gr;$379,25;;;Precio regular: $2.370,31 x kg;30566
HILERET;Endulzante Hileret Clasico Forte X 250 Ml;$997,36;;;Precio regular: $3.989,44 x lt;331220
TARAGUI;Yerba Mate Taragui 4flex 1/2kg;$1.483,31;;;Precio regular: $2.966,62 x kg;314522
UNION;Mate Cocido Union X 300 Gr;$1.852,02;;;Precio regular: $6.173,4 x kg;320481
MENOYO;Vinagre De Manzana Menoyo 1 L;$1.161,06;;;Precio regular: $1.161,06 x lt;167951
NESCAFE;Nescafé® Dolca Caramel X 125gr;$954,59;2do al 70%;Llevando 2: $620,48 c/u;Precio regular: $7.636,72 x kg;350019
CADBURY;Chocolate Cadbury Tres Sueños 25g;$395;;;Precio regular: $1.580 x 100 gr.;330853
9 DE ORO;Pepas 9 De Oro Membrillo X140g;$444,53;;;Precio regular: $3.175,21 x kg;403111
CUISINE & CO NBE MP;Mermelada De Frutilla Cuisine & Co;$1.136,77;;;Precio regular: $2.498,4 x kg;309182
MANI KING;Garrapiñada Mani King - 80 Gr;$477,36;2x1;Llevando 2: $238.68 c/u;Precio regular: $5.967 x kg;305803
TIC TAC;Pastillas Tic Tac Dupla Frutilla 33 U;$176,07;;;Precio regular: $1.100,44 x 100 gr.;46981
ROYAL;Gelatina Royal Frutilla 25g;$419;;;Precio regular: $1.676 x 100 gr.;386168
CUISINE & CO NBE MP;Crackers Cuisine&co X 3u;$804;;;Precio regular: $2.653,47 x kg;323738
OKEBON;Galletitas Okebon Leche Con Dulce De Leche 273 Gr;$458,43;;;Precio regular: $1.679,23 x kg;1522
MR POP´S;Chupetines Surtidos Mr Pop Evolution X432g;$2.714;;;Precio regular: $6.282,41 x kg;263102
LA CAMPAGNOLA;Mermelada La Campagnola Naranja X454g;$1.034;;;Precio regular: $2.277,53 x kg;337050
MOGUL;Gomitas Mogul Anillos 220g;$903;;;Precio regular: $4.104,55 x kg;320374
LA VIRGINIA;Café La Virginia Molido Clasico 250g;$1.902;;;Precio regular: $7.608 x kg;331887
ROYAL;Gelatina Royal Cereza X25gr;$372;;;Precio regular: $1.488 x 100 gr.;386172
TERRABUSI;Alfajor Terrabusi Blanco Glaseado 38g;$276,24;;;Precio regular: $726,95 x 100 gr.;148349
VALENTE;Madalenas Rellenas Con Ddl Valente X 180g;$711;;;Precio regular: $3.555 x kg;387532
9 DE ORO;Cookies 9 De Oro 120gr;$367;;;Precio regular: $3.058,33 x kg;323583
PEHUAMAR;Palitos Salados Pehuamar X165g;$1.267;;;Precio regular: $7.678,79 x kg;395383
MOGUL;Gomitas Mogul Conitos 220g;$1.092;;;Precio regular: $4.963,64 x kg;320376
PEHUAMAR;Maicitos Pehuamar X260g;$2.057;;;Precio regular: $7.911,54 x kg;395372
FARGO;Pan Fargo Lacteado 380g;$1.768;;;Precio regular: $4.592,21 x kg;387663
BIGGYS;Pochoclos Acaramelados X 100g Biggys;$592,8;;;Precio regular: $5.928 x kg;339063
INTEGRA;Barra Integra Avena Alm Nuez 41g;$561;;;Precio regular: $1.368,29 x 100 gr.;404470
BON O BON;Bon O Bon Leche 15 Gr;$206;;;Precio regular: $1.373,33 x 100 gr.;251708
KINDER;Kinder Huevo Rosa 2 U;$1.080,41;;;Precio regular: $2.701,03 x 100 gr.;26737
HEINZ;Mayonesa Heinz Light Doy-pack X850gr;$2.558;;;Precio regular: $3.009,41 x kg;299834
KNORR;Caldo Knorr Sabor Carne X 12 Cubos;$645;;;Precio regular: $5.657,89 x kg;387856
CUISINE & CO NBE MP;Tostadas Light 200gr C&co;$879,33;;;Precio regular: $4.396,65 x kg;309298
DOS ANCLAS;Bicarbonato De Sodio Dos Anclas 25 Gr;$248;;;Precio regular: $992 x 100 gr.;24346
GEORGALOS;Garrapiñadas Georgalos De Maní X 80 Gr.-paquete;$527;2x1;Llevando 2: $263.50 c/u;Precio regular: $6.587,5 x kg;21823
Tostitos;Nachos Tostitos 200 Gr;$3.036;;;Precio regular: $15.180 x kg;36338
UNION;Yerba Mate Union 4flex 1/2kg;$1.523,38;;;Precio regular: $3.046,76 x kg;314523
NESCAO;Polvo Chocolatado Nescao X300gr;$635;;;Precio regular: $2.116,67 x kg;167499
CELUSAL;Sal Gruesa Celusal 1 Kg;$636;;;Precio regular: $636 x kg;40449
PASEO;Galletitas Paseo De Salvado 250gr;$431;;;Precio regular: $1.724 x kg;329409
KRACH-ITOS;Papas Krach-itos Tradicionales X270g;$2.418;;;Precio regular: $8.955,56 x kg;387609
MILKA;Chocolate De Leche Aireado Milka 110g;$1.194,58;;;Precio regular: $10.859,82 x kg;330888
MOGUL;Mogul Frutillas Acidas;$997;;;Precio regular: $6.646,67 x kg;310745
FLOW;Barra Flow De Almendras Piso Chocox180g;$1.504,31;;;Precio regular: $8.357,28 x kg;350821
Molinos Ala;Arroz Molinos Ala Yamani Est 500gr;$2.078;;;Precio regular: $4.156 x kg;332577
WAKAS;Pasta Multicereal Wakas Con Kale X250gr.;$1.683;;;Precio regular: $6.732 x kg;287971
PASEO;Galletitas De Agua Mini Crackers Paseo 5 Semillas 300 Gr;$774,18;;;Precio regular: $2.580,6 x kg;9307
CUISINE & CO NBE MP;Mermelada Frutilla Reducid Calorias C&co;$1.221,95;;;Precio regular: $3.133,21 x kg;309183
PUREZA;Pan Rallado Integral Pureza X 350 Gr;$440;;;Precio regular: $1.257,14 x kg;313858
NESCAFE;Nescafé® Dolca Original X 170gr;$4.263,81;2do al 80%;Llevando 2: $2.558,29 c/u;Precio regular: $25.081,24 x kg;407846
COFLER;Chocolate Cofler Block Con Leche 300 Gr;$4.327;;;Precio regular: $14.423,33 x kg;40707
GAROTO;Garoto® Bombones Surtidos Caja X 250gr;$2.252,17;;;Precio regular: $9.008,68 x kg;307128
9 DE ORO;Galletas 9 De Oro Anillitos Coco 120 Gr;$178;;;Precio regular: $1.483,33 x kg;309696
