Brand;Description;Final_price;Original_price;Discount;Regular_price
PLAYADITO;Yerba Mate Playadito Suave X1kg;$1.979,87;$3.045,95;-35%;Precio regular: $3.045,95 x kg
OREO;Galletitas Dulces Rellenas Con Crema Oreo 354g;$1.061,45;$1.633;-35%;Precio regular: $4.612,99 x kg
PEPITOS;Galletitas Dulces Con Chips De Chocolate Pepitos 357g;$999,7;$1.538;-35%;Precio regular: $4.394,29 x kg
LEDESMA;Azúcar Ledesma Molida Clasico 1 Kg;$1.295;;;Precio regular: $1.295 x kg
LA CAMPAGNOLA;Atun La Campagnola Al Natural X170g;$1.990;;;Precio regular: $11.705,88 x kg
MAÑANITA;Yerba Mate Mañanita 4flex 1kg;$2.579,85;;;Precio regular: $2.579,85 x kg
LA CAMPAGNOLA;Atun La Campagnola En Aceite X170g;$1.990;;;Precio regular: $11.705,88 x kg
SIN MARCA;Caja Navideña Negra 1 U;$7.468,5;$11.490;-35%;Precio regular: $11.490 x un
NESCAFE;Nescafé® Dolca Suave X 170gr;$2.715,33;2x1;Llevando 2: $1357.66 c/u;Precio regular: $15.972,53 x kg
ARTESANO;Pan Blanco Bimbo Artesano X 500g;$2.450;;;Precio regular: $4.900 x kg
CUISINE & CO NBE MP;Duraznos En Mitades Cuisine & Co;$843,7;$1.298;-35%;Precio regular: $2.676,29 x kg
COCA COLA;Gaseosa Coca-cola Sabor Original 2,5 Lt;$2.383,5;;;Precio regular: $953,4 x lt
CUISINE & CO NBE MP;Azucar Cuisine & Co 1kg;$1.228,75;;;Precio regular: $1.228,75 x kg
LA MERCED;Yerba Mate La Merced Campo O.c 500g;$1.982,3;;;Precio regular: $3.964,6 x kg
LEDESMA;Azúcar Ledesma Molida 1 Kg;$1.184,18;;;Precio regular: $1.184,18 x kg
CUISINE & CO NBE MP;Señor Pure De Tomate Cuisine & Co 520 Gr;$609,4;;;Precio regular: $1.171,92 x kg
DORITOS;Doritos Sabor Queso X200g;$2.353,5;$3.138;-25%;Precio regular: $15.690 x kg
RUMBA;Galletitas Rumba 324g;$1.190;;;Precio regular: $3.718,75 x kg
TERRABUSI;Alfajor Terrabusi Chocolate Clásico 6ux50g;$1.774;;;Precio regular: $5.913,33 x kg
CUISINE & CO NBE MP;Palmitos Trozos Cuisine & Co;$2.381;;;Precio regular: $10.822,73 x kg
UNION;Yerba Mate Unión 4flex 1kg;$2.423,4;;;Precio regular: $2.423,4 x kg
OREO;Galletitas Dulces Rellenas Con Crema Oreo 118g;$364,65;$561;-35%;Precio regular: $4.754,24 x kg
NESQUIK;Nesquik® Original Polvo Chocolatado X 800gr;$3.597,72;2do al 80%;Llevando 2: $2.158,63 c/u;Precio regular: $4.497,15 x kg
DIVERSION;Galletitas Surtido Diversion X398g;$907;;;Precio regular: $2.325,64 x kg
OPERA;Galletitas ópera Agrupadas 220 Gr;$792;;;Precio regular: $3.600 x kg
Molinos Ala;Arroz Molinos Ala Parboil Gs X1kg;$1.746;;;Precio regular: $1.746 x kg
PUREZA;Aceite Girasol Pureza 1,5l;$2.209;;;Precio regular: $1.472,67 x lt
CHOCOLINAS;Galletitas Chocolinas X262g;$770;;;Precio regular: $2.961,54 x kg
NESCAFE;Nescafé® Dolca Suave X 200gr;$2.199,09;2do al 80%;Llevando 2: $1.319,45 c/u;Precio regular: $10.995,45 x kg
NESTLE;Nestlé® Leche Condensada Descremada X 395gr;$1.216,67;;;Precio regular: $3.379,64 x kg
PLAYADITO;Yerba Mate Playadito Suave X500gr;$1.587,94;;;Precio regular: $3.175,88 x kg
HELLMANN´S;Mayonesa Hellmann's Clasica Doypack 950 G;$1.255;;;Precio regular: $1.321,05 x kg
SURTIDO;Galletitas Surtido Bagley X398g;$1.050;;;Precio regular: $2.692,31 x kg
NUCETE;Aceite De Oliva Nucete Extra Virgen X2000ml;$23.686,88;;;Precio regular: $11.843,44 x lt
VANGUARDIA;Arroz Vanguardia Elaborado Largo Fino;$1.255,5;;;Precio regular: $1.255,5 x kg
NESQUIK;Nesquik® Original Polvo Chocolatado X 360gr;$1.829,67;2do al 80%;Llevando 2: $1.097,8 c/u;Precio regular: $5.082,42 x kg
LA MERCED;Yerba Mate La Merced Campo Sur O.c 500g;$1.982,3;;;Precio regular: $3.964,6 x kg
LAY´S;Papas Fritas Lays Clasicas X230g;$3.138;;;Precio regular: $13.643,48 x kg
DORITOS;Doritos Queso 140g- X129g;$1.770,28;;;Precio regular: $13.617,54 x kg
LA CAMPAGNOLA;Puré De Tomate La Campagnola 520 Gr;$455;;;Precio regular: $875 x kg
CUISINE & CO NBE MP;Palmitos Entero 800 Gr Cuisine & Co;$5.189;;;Precio regular: $10.378 x kg
LAY´S;Papas Fritas Lays Clasicas X134g;$1.920,3;;;Precio regular: $14.771,54 x kg
TARAGUI;Yerba Mate Taragui 4flex 1kg;$2.487,43;;;Precio regular: $2.487,43 x kg
BIMBO;Pan Blanco Bimbo X 550g;$2.200;;;Precio regular: $4.000 x kg
PEPITOS;Galletitas Dulces Con Chips De Chocolate Pepitos 119g;$381,55;$587;-35%;Precio regular: $4.891,67 x kg
CUISINE & CO NBE MP;Vainillas Cuisine&co X36 U;$1.199;-32%;$1.763,54;Precio regular: $3.971,94 x kg
OREO;Galletitas Oreo Mini X50g;$181,35;$279;-35%;Precio regular: $558 x 100 gr.
CBSE;Yerba Mate Cbsé Hierbas Serranas X1kg;$2.914;;;Precio regular: $2.914 x kg
LUCHETTI;Fideos Lucchetti Tallarín N5 X500g;$1.026;;;Precio regular: $2.052 x kg
CEREALITAS;Galletitas Cracker Cereal Cerealitas Clásicas X3uni 636g;$1.425;;;Precio regular: $2.375 x kg
CUISINE & CO NBE MP;Fideos Spaguetti C&c;$879;;;Precio regular: $1.758 x kg
CUISINE & CO NBE MP;Fideos Tirabuzon C&c 500gr;$879;;;Precio regular: $1.758 x kg
DOS HERMANOS;Arroz Dos Hermanos Pairboil 1 Kg;$1.610,11;;;Precio regular: $1.610,11 x kg
TODDY;Galletitas Toddy Chips De Chocolate 126 Gr;$565,32;$869,72;-35%;Precio regular: $6.902,54 x kg
MANTECOL;Postre Mantecol Bajo En Sodio 253g;$1.995;-15%;$2.349;Precio regular: $9.284,58 x kg
CHEF;Puré Chef X 100gr;$592;;;Precio regular: $5.920 x kg
MANA;Galletitas Mana Vainilla 408g;$989;;;Precio regular: $2.472,5 x kg
TRAVIATA;Galletitas De Agua Traviata 303 Gr;$580;;;Precio regular: $1.933,33 x kg
ARCOR;Surtido Arcor El Kiosco 246g;$3.536;;;Precio regular: $14.373,98 x kg
CUISINE & CO NBE MP;Galletitas Con Chips De Chocolate 172gr C&co;$801,47;;;Precio regular: $4.659,71 x kg
CHOCOLINAS;Galletitas Chocolinas X150g;$626;;;Precio regular: $4.064,94 x kg
CACHAFAZ;Alfajores Mixtos Cachafaz 12 U;$7.445;;;Precio regular: $10.340,28 x kg
SONRISAS;Galle Sonrisas Frambuesa X324g;$1.086;;;Precio regular: $3.351,85 x kg
LA MERCED;Yerba Mate La Merced Barcbacua O.c 500g;$1.982,3;;;Precio regular: $3.964,6 x kg
NUCETE;Aceite De Oliva Nucete Clásico 500 Ml;$8.301,4;;;Precio regular: $16.602,8 x lt
LAY´S;Papas Fritas Lays Clasicas X85g;$1.191;$1.588;-25%;Precio regular: $19.850 x kg
FERRERO;Bombones Ferrero Rocher 8 U;$1.748,09;;;Precio regular: $17.480,9 x kg
NESCAFE;Nescafé® Tradición X 170gr;$1.854,7;$2.853,39;-35%;Precio regular: $16.784,65 x kg
HELLMANN´S;Mayonesa Hellmanns Liviana 475g;$699;;;Precio regular: $1.471,58 x kg
BIMBO;Pan Para Hamburguesa Con Sésamo Bimbo X 4u;$910;;;Precio regular: $4.333,33 x kg
AGUILA;Chocolate Aguila Para Taza 150 Gr;$1.908,4;;;Precio regular: $12.722,67 x kg
REX;Galletitas Rex Original 125 Gr;$477;;;Precio regular: $3.816 x kg
NESCAFE;Café Nescafe Gold En Granos X100g;$4.331,97;;;Precio regular: $43.319,7 x kg
MATARAZZO;Fideos Matarazzo Tirabuzón N34 X500g;$1.292;;;Precio regular: $2.584 x kg
ARCOR;Turrón De Maní Arcor 25 Gr;$177;3x2;Llevando 3: $118.00 c/u;Precio regular: $708 x 100 gr.
MILKA;Alfajor Triple Oreo 56g;$419,06;;;Precio regular: $7.483,21 x kg
MAÑANITA;Yerba Mate Mañanita 4flex 1/2kg;$1.410,86;;;Precio regular: $2.821,72 x kg
VARIEDAD;Galletitas Dulces Variedad De Terrabusi Nuevo Mix 390g;$1.059;;;Precio regular: $2.715,38 x kg
LA CAMPAGNOLA;Lomo De Atún Libre De Gluten La Campagnola 300 Gr;$3.110;;;Precio regular: $10.366,67 x kg
Kit Kat;Oblea Kitkat® Leche 4 Fingers X 41,5gr;$448,39;2do al 50%;Llevando 2: $336,29 c/u;Precio regular: $1.080,46 x 100 gr.
SALSATI;Puré De Tomate Salsati 520 Gr;$413;;;Precio regular: $794,23 x kg
MAGGI;Maggi® Puré Original X 200gr;$792,2;;;Precio regular: $3.961 x kg
ARTESANO;Pan Integral Bimbo Artesano X 500g;$2.594;;;Precio regular: $5.188 x kg
BIMBO;Pan De Hamburguesa Bimbo Artesano | 4u;$1.200;;;Precio regular: $5.000 x kg
LAY´S;Papas Lays Clasicas X40g;$859;;;Precio regular: $2.147,5 x 100 gr.
KESITAS;Galletitas Kesitas 75 Gr;$465;;;Precio regular: $6.200 x kg
AZUCEL;Azúcar Azucel Común Tipo A - 1 Kg;$1.190,66;;;Precio regular: $1.190,66 x kg
TRAVIATA;Galletitas Traviata X506g;$1.146;;;Precio regular: $2.264,82 x kg
KNORR;Caldo Knorr De Verduras X 12 Cubos;$645;;;Precio regular: $1.290 x 100 gr.
CUISINE & CO NBE MP;Don Triturado Cuisine & Co 910 Gr;$1.299;;;Precio regular: $1.427,47 x kg
LUCHETTI;Fideos Lucchetti Tirabuzón N34 X500g;$1.026;;;Precio regular: $2.052 x kg
SONRISAS;Galletitas Sonrisas Frambuesa X108g;$335;;;Precio regular: $3.101,85 x kg
LACTAL;Pan Salvado Lactal X 330g;$1.128;;;Precio regular: $3.418,18 x kg
GREEN HILLS;Té Green Hills- 50 Saquitos;$1.152,98;;;Precio regular: $11.529,8 x kg
LACTAL;Pan Blanco Lactal X 460g;$1.388;;;Precio regular: $3.017,39 x kg
AMOR;Galletitas Amor 108g;$435;;;Precio regular: $4.350 x kg
CASALTA;Vinagres De Alcohol Casalta X1300ml;$940,67;;;Precio regular: $723,59 x lt
ARCOR;Pure De Tomate Arcor X530g;$447;;;Precio regular: $843,4 x kg
CUISINE & CO NBE MP;Vainillas Cuisine&co X12 U;$547,81;;;Precio regular: $3.701,42 x kg
LA MERCED;Yerba Mate La Merced Campo&monteo.c 500g;$1.982,3;;;Precio regular: $3.964,6 x kg
ANILLOS;Galletitas Dulces Anillitos Clásicos De Terrabusi 170g;$453;;;Precio regular: $2.664,71 x kg
HELLMANN´S;Mayonesa Hellmanns Clasica Dp X475g;$803;;;Precio regular: $1.690,53 x kg
PUREZA;Harina Pureza Integral100%;$599;;;Precio regular: $599 x kg
PUREZA;Aceite Girasol Pureza 0,9l;$1.430;;;Precio regular: $1.588,89 x lt
NUTELLA;Nutella 350gr;$1.834,07;;;Precio regular: $5.240,2 x kg
CUISINE & CO NBE MP;Palmitos Trozos 800 Gr Cuisine & Co;$4.450;;;Precio regular: $8.900 x kg
HELLMANN´S;Ketchup Hellmanns X250g;$439;-26%;$593;Precio regular: $2.502,11 x kg
DOS ANCLAS;Sal Fina Dos Anclas 500 Gr;$530;;;Precio regular: $1.060 x kg
La Providencia;Galletita Cracker La Providencia Clasica X303gr;$465,93;;;Precio regular: $1.553,1 x kg
MOGUL;Gomitas Arcor Mogul Rollo 12 Gr;$299;;;Precio regular: $2.491,67 x 100 gr.
LA MOLISANA;Pure De Tomate La Molisana Passata X690gr;$3.509;-20%;$4.375;Precio regular: $6.340,58 x kg
HELLMANN´S;Mayonesa Hellmanns Liviana 950g;$1.257;;;Precio regular: $1.323,16 x kg
OPERA;Galletitas Opera 55 Gr;$232;;;Precio regular: $4.218,18 x kg
DORITOS;Doritos Queso X77g;$1.098;$1.464;-25%;Precio regular: $18.300 x kg
FARGO;Pan Integral Grano Entero Fargo X 350g;$1.850;;;Precio regular: $5.285,71 x kg
OREO;Galletitas Dulces Rellenas Con Crema Oreo Vainilla 354g;$1.105,65;$1.701;-35%;Precio regular: $4.805,08 x kg
PEPITOS;Galletitas Pepitos Mini X50g;$182;$280;-35%;Precio regular: $560 x 100 gr.
CEREALITAS;Galletitas Cracker Cereal Cerealitas Clásicas 212g;$557;;;Precio regular: $2.652,38 x kg
BELDENT;Chicle Mentabeldent 20g;$221;;;Precio regular: $2.210 x 100 gr.
MILKA;Alfajor Simple Milka Mousse 6ux42g;$2.113;;;Precio regular: $5.030,95 x 100 gr.
VOCACION;Galletitas Merengadas Frutilla X88g;$437;;;Precio regular: $5.462,5 x kg
MANTECOL;Postre Mantecol 111g;$939;-15%;$1.109;Precio regular: $9.990,99 x kg
LEGITIMO;Aceite Girasol Legitimo X900cc;$1.382;;;Precio regular: $1.535,56 x lt
FERRERO;Bombones Ferrero Rocher 24 U;$5.062,36;;;Precio regular: $210,93 x un
SAVORA;Mostaza Savora Original X500gr;$743;;;Precio regular: $1.486 x kg
PEPITOS;Alfajor Triple Pepitos 57g;$410,27;;;Precio regular: $7.197,72 x kg
KINDER;Kinder Bueno;$620,16;;;Precio regular: $1.442,23 x 100 gr.
MILKA;Alfajor Triple Milka Mousse 55g;$400,44;;;Precio regular: $7.280,73 x kg
CACHAFAZ;Galletitas Cachafaz Granola;$1.487;;;Precio regular: $6.608,89 x kg
LA CAMPAGNOLA;Mermelada La Campagnola Frutill X390g Bc;$1.832;;;Precio regular: $4.697,44 x kg
MEDIA TARDE;Galletitas Mediatarde X315g;$649;;;Precio regular: $2.060,32 x kg
NUCETE;Aceite De Oliva Nucete Virgen Lata X500;$9.179,13;;;Precio regular: $18.358,26 x lt
BAGLEY;Galletas Cereales Bagley Salvado X507g;$1.153;;;Precio regular: $2.274,16 x kg
PUREZA;Harina Pureza Leudante Ultra Ref X1kg;$519,99;;;Precio regular: $519,99 x kg
LAY´S;Papas Fritas Lays Queso Y Cebolla X77g;$1.384;;;Precio regular: $17.300 x kg
SALADIX;Galletitas Saladix Pizza 100 Gr;$599;;;Precio regular: $5.990 x kg
VIGENTE;Pure De Tomate Vigente Brick 520 G;$609,95;;;Precio regular: $1.172,98 x kg
CUISINE & CO NBE MP;Garbanzos Cuisine & Co 300gr;$658;;;Precio regular: $3.209,76 x kg
TARAGUI;Mate Cocido Taragui S/e F.diamantado 5x50x3gr.;$973,3;;;Precio regular: $6.488,67 x kg
SHOT;Alfajor Shot Triple Relleno De Chocolate Con Maní 60g;$436,78;;;Precio regular: $7.279,67 x kg
SALADIX;Galletitas Saladix Pizza X 30grs;$186;;;Precio regular: $620 x 100 gr.
COFLER;Chocolate Cofler Block Con Maní 110 Gr;$1.154;;;Precio regular: $10.490,91 x kg
HILERET;Endulzante Hileret Light X 500 Gr;$1.310,4;;;Precio regular: $2.620,8 x kg
MILKA;Bombón De Chocolate Milka Oreo 19g;$119,62;;;Precio regular: $629,58 x 100 gr.
FERRERO;Bombones Ferrero Rocher 3 U;$624,92;;;Precio regular: $1.644,53 x 100 gr.
DORITOS;Nachos Doritos Sabor Queso X40g;$859;;;Precio regular: $2.147,5 x 100 gr.
FARGO;Pan Salvado Plus Fargo X 600g;$2.450;;;Precio regular: $4.083,33 x kg
PASEO;Galletitas Paseo Cinco Semillas 250gr;$431;;;Precio regular: $1.724 x kg
HILERET;Endulzante Hileret Clasico Forte X 500 Ml.;$1.652,56;;;Precio regular: $3.305,12 x lt
LA ESPAÑOLA GOURMET;Lentejas La Española Gourmet 400 Gr;$803,45;;;Precio regular: $2.008,63 x kg
BON O BON;Oblea Bañada Rhodesia 22gr;$305;;;Precio regular: $1.386,36 x 100 gr.
RHODESIA;Oblea Rhodesia Clásica 4ux22g;$1.167;;;Precio regular: $13.261,36 x kg
OROWEAT;Pan Con Cereales Oroweat X 600g;$2.891;;;Precio regular: $4.818,33 x kg
PRESTOPRONTA;Harina De Maíz Presto Pronta 500 Gr;$566;;;Precio regular: $1.132 x kg
CELUSAL;Sal Fina Celusal 500 Gr;$397;;;Precio regular: $794 x kg
DOS ANCLAS;Sal Fina Dos Anclas X500gr;$540;;;Precio regular: $1.080 x kg
PRINGLES;Papas Pringles Crema Y Cebolla X124g;$1.856,96;;;Precio regular: $15.474,67 x kg
ARTESANO;Pan De Semillas Bimbo Artesano X 500g;$2.594;;;Precio regular: $5.188 x kg
MILKA;Alfajor Triple Milka Dulce De Leche 70g;$383,01;;;Precio regular: $5.471,57 x kg
CACHAFAZ;Galletitas Integral Cachafaz Avena Con Chips De Chocolate 225 Gr;$1.487;;;Precio regular: $6.608,89 x kg
CASERITA;Harina Caserita 000 1 Kg;$581;;;Precio regular: $581 x kg
CUISINE & CO NBE MP;Champignones Laminados Cuisine & Co;$1.861;;;Precio regular: $8.091,3 x kg
CUISINE & CO NBE MP;Lentejas Cuisine & Co 300gr;$684;;;Precio regular: $3.336,59 x kg
